set,observable,mean,median,std,p95,max
actual,S_A,0.9819603065332031,0.9999828445020782,0.18915053901194134,1.2289376240078138,1.2386320995066782
actual,S_B,1.2387513621966662,1.238776263650733,0.00011377964650368901,1.2387907645295515,1.2387917062586704
actual,S_C_can,0.9820308223437575,1.0002079376930286,0.18912121406072663,1.2289026146686113,1.2385611097076055
actual,S_C_pt,1.0035597081713166,1.033698896711522,0.182205609101778,1.231679106050197,1.2384235385126294
actual,S_mix_can,0.9857349350246392,0.9437319505831426,0.4547590231454424,1.761118960920632,2.121059151039697
actual,S_mix_pt,0.9921168224429777,0.9476628887362403,0.4582184693293111,1.7735660927457904,2.127065951162127
shifted,S_A,0.9819585602218509,0.9999776623041978,0.18915093000701128,1.2289547434886074,1.2386433227197862
shifted,S_B,1.2387513749103622,1.2387762639301498,0.00011340861525708185,1.2387907646374545,1.2387917063586458
shifted,S_C_can,0.9820294162178687,1.0002868777513854,0.18912175569394798,1.2289008870667844,1.2385618166285226
shifted,S_C_pt,1.0035591199341227,1.03370201486082,0.1822054766591511,1.231679085058915,1.2384235381836426
shifted,S_mix_can,0.9857178218624002,0.9441845240821699,0.4547607857618189,1.761270192696872,2.1209133749410265
shifted,S_mix_pt,0.9921006446394871,0.9467118307912585,0.45823433202748676,1.7727649327575221,2.127689528685829
random,S_A,0.9818220316845145,0.9996396266460711,0.1888851847012462,1.2288339267499104,1.2386396324274775
random,S_B,1.2387363897404924,1.2387738909769799,0.00019735577527121465,1.2387906736531398,1.2387917061412859
random,S_C_can,0.9827115548679235,1.0007162494264636,0.1890732807842288,1.2289186579722484,1.2385638542051132
random,S_C_pt,1.0014557472755663,1.0306234947069783,0.18318878245542,1.231053955337872,1.2384235382462296
random,S_mix_can,0.9857197182226076,0.9437472631715278,0.4549356808200252,1.7597156668730911,2.117916543978043
random,S_mix_pt,0.9930689229027889,0.9493126909119319,0.4578614250685423,1.7740244993034078,2.119063803073588
