a,total_triplets,top_bc_pairs
641,20,7·11×16(0.800); 7·23×2(0.100); 19·11×2(0.100)
653,20,7·11×16(0.800); 7·23×2(0.100); 19·11×2(0.100)
677,20,7·11×16(0.800); 7·23×2(0.100); 19·11×2(0.100)
701,20,7·11×16(0.800); 7·23×2(0.100); 19·11×2(0.100)
761,20,7·11×16(0.800); 7·23×2(0.100); 19·11×2(0.100)
821,16,7·11×12(0.750); 7·23×2(0.125); 19·11×2(0.125)
881,16,7·11×12(0.750); 7·23×2(0.125); 19·11×2(0.125)
857,16,7·11×12(0.750); 7·23×2(0.125); 19·11×2(0.125)
809,16,7·11×12(0.750); 7·23×2(0.125); 19·11×2(0.125)
797,16,7·11×12(0.750); 7·23×2(0.125); 19·11×2(0.125)
773,16,7·11×12(0.750); 7·23×2(0.125); 19·11×2(0.125)
929,12,7·11×8(0.667); 7·23×2(0.167); 19·11×2(0.167)
941,12,7·11×8(0.667); 7·23×2(0.167); 19·11×2(0.167)
953,12,7·11×8(0.667); 7·23×2(0.167); 19·11×2(0.167)
1229,8,7·11×6(0.750); 7·23×2(0.250)
1217,8,7·11×6(0.750); 7·23×2(0.250)
1193,8,7·11×6(0.750); 7·23×2(0.250)
1181,8,7·11×6(0.750); 7·23×2(0.250)
1109,8,7·11×6(0.750); 7·23×2(0.250)
1097,8,7·11×6(0.750); 7·23×2(0.250)
1061,8,7·11×6(0.750); 7·23×2(0.250)
977,8,7·11×6(0.750); 7·23×2(0.250)
1049,8,7·11×6(0.750); 7·23×2(0.250)
1013,8,7·11×6(0.750); 7·23×2(0.250)
2237,4,7·11×4(1.000)
1973,4,7·11×4(1.000)
1997,4,7·11×4(1.000)
2069,4,7·11×4(1.000)
2081,4,7·11×4(1.000)
2129,4,7·11×4(1.000)
2141,4,7·11×4(1.000)
2153,4,7·11×4(1.000)
2213,4,7·11×4(1.000)
2273,4,7·11×4(1.000)
2477,4,7·11×4(1.000)
1949,4,7·11×4(1.000)
2309,4,7·11×4(1.000)
2333,4,7·11×4(1.000)
2357,4,7·11×4(1.000)
2381,4,7·11×4(1.000)
2393,4,7·11×4(1.000)
2417,4,7·11×4(1.000)
2441,4,7·11×4(1.000)
2297,4,7·11×4(1.000)
1901,4,7·11×4(1.000)
1913,4,7·11×4(1.000)
1493,4,7·11×4(1.000)
1277,4,7·11×4(1.000)
1289,4,7·11×4(1.000)
1301,4,7·11×4(1.000)
1361,4,7·11×4(1.000)
1373,4,7·11×4(1.000)
1409,4,7·11×4(1.000)
1433,4,7·11×4(1.000)
1481,4,7·11×4(1.000)
1553,4,7·11×4(1.000)
1889,4,7·11×4(1.000)
1601,4,7·11×4(1.000)
1613,4,7·11×4(1.000)
1637,4,7·11×4(1.000)
1697,4,7·11×4(1.000)
1709,4,7·11×4(1.000)
1721,4,7·11×4(1.000)
1733,4,7·11×4(1.000)
1877,4,7·11×4(1.000)
2549,4,7·11×4(1.000)
