n,Zeta_Resonance,a,b,c,d
561,2.884794723975027,0,2,14,19
1105,27.101181946979196,0,0,4,33
1729,15.983133782335667,0,6,18,37
2465,54.371417180282165,0,0,8,49
2821,21.629526995186573,0,2,36,39
6601,86.63438114774567,0,2,6,81
8911,19.903934838480623,1,2,25,91
10585,44.581494997185864,0,0,28,99
15841,63.72285266180871,0,6,26,123
29341,174.28830910700736,0,0,10,171
