N,W,Pol_11_47,Pol_11_47_resid_emp_hl
100000000,400,0.004344000786551616,0.004309986412713733
100000000,600,0.00864073471367316,0.008603697176356492
100000000,800,0.00942435361088756,0.009410620957501867
100000000,1000,0.008458978019010632,0.008440094493705856
100000000,1200,0.006360902488614539,0.006340770840374793
100000000,1500,0.005019529935398004,0.005002604609151244
100000000,2000,0.002162590739619108,0.0021559642558190446
100000000,3000,0.0015920542620925238,0.001586294541877734
