,e,a,b,c,3,9
e,0.3333333333333333,0.16667866657066743,0.33335733314133487,0.16663066695466436,0.0,0.0
a,0.3333813329493364,0.16667866657066743,0.33328533371733027,0.1666546667626659,0.0,0.0
b,0.0,0.49998800009599925,0.0,0.5000119999040008,0.0,0.0
c,0.0,0.5,0.0,0.5,0.0,0.0
3,0.0,0.5000119999040008,0.0,0.49998800009599925,0.0,0.0
9,0.3333893342293477,0.16663466615465847,0.33331733307732925,0.16665866653866462,0.0,0.0
