n,e(E≡1 mod12),a_i(A≡5),a_j(A≡5),b_k(B≡7),b_l(B≡7),c_m(C≡11),c_n(C≡11),Faktorisierung
1926925,13,5,5,7,7,11,11,13 * 5 * 5 * 7 * 7 * 11 * 11
4029025,13,5,5,7,7,11,23,13 * 5 * 5 * 7 * 7 * 11 * 23
5230225,13,5,5,7,19,11,11,13 * 5 * 5 * 7 * 19 * 11 * 11
5484325,37,5,5,7,7,11,11,37 * 5 * 5 * 7 * 7 * 11 * 11
6551545,13,5,17,7,7,11,11,13 * 5 * 17 * 7 * 7 * 11 * 11
8233225,13,5,5,7,7,11,47,13 * 5 * 5 * 7 * 7 * 11 * 47
8424325,13,5,5,7,7,23,23,13 * 5 * 5 * 7 * 7 * 23 * 23
8533525,13,5,5,7,31,11,11,13 * 5 * 5 * 7 * 31 * 11 * 11
9041725,61,5,5,7,7,11,11,61 * 5 * 5 * 7 * 7 * 11 * 11
