a,b,total,distinct_c,entropy,top_c_list
17,811,2,1,-0.0,11×2(1.000)
17,823,2,1,-0.0,11×2(1.000)
17,859,2,1,-0.0,11×2(1.000)
17,883,2,1,-0.0,11×2(1.000)
17,907,2,1,-0.0,11×2(1.000)
17,919,2,1,-0.0,11×2(1.000)
17,967,2,1,-0.0,11×2(1.000)
17,991,2,1,-0.0,11×2(1.000)
17,1039,2,1,-0.0,11×2(1.000)
17,1051,2,1,-0.0,11×2(1.000)
17,1063,2,1,-0.0,11×2(1.000)
29,307,2,1,-0.0,11×2(1.000)
29,331,2,1,-0.0,11×2(1.000)
29,367,2,1,-0.0,11×2(1.000)
29,379,2,1,-0.0,11×2(1.000)
29,439,2,1,-0.0,11×2(1.000)
29,463,2,1,-0.0,11×2(1.000)
29,487,2,1,-0.0,11×2(1.000)
29,499,2,1,-0.0,11×2(1.000)
29,523,2,1,-0.0,11×2(1.000)
29,547,2,1,-0.0,11×2(1.000)
29,571,2,1,-0.0,11×2(1.000)
29,607,2,1,-0.0,11×2(1.000)
29,619,2,1,-0.0,11×2(1.000)
41,223,2,1,-0.0,11×2(1.000)
41,271,2,1,-0.0,11×2(1.000)
41,283,2,1,-0.0,11×2(1.000)
41,307,2,1,-0.0,11×2(1.000)
41,331,2,1,-0.0,11×2(1.000)
41,367,2,1,-0.0,11×2(1.000)
41,379,2,1,-0.0,11×2(1.000)
41,439,2,1,-0.0,11×2(1.000)
53,199,2,1,-0.0,11×2(1.000)
53,211,2,1,-0.0,11×2(1.000)
53,223,2,1,-0.0,11×2(1.000)
53,271,2,1,-0.0,11×2(1.000)
53,283,2,1,-0.0,11×2(1.000)
53,307,2,1,-0.0,11×2(1.000)
53,331,2,1,-0.0,11×2(1.000)
89,103,2,1,-0.0,11×2(1.000)
89,127,2,1,-0.0,11×2(1.000)
89,139,2,1,-0.0,11×2(1.000)
89,151,2,1,-0.0,11×2(1.000)
89,163,2,1,-0.0,11×2(1.000)
89,199,2,1,-0.0,11×2(1.000)
101,103,2,1,-0.0,11×2(1.000)
101,127,2,1,-0.0,11×2(1.000)
101,139,2,1,-0.0,11×2(1.000)
101,151,2,1,-0.0,11×2(1.000)
101,163,2,1,-0.0,11×2(1.000)
113,79,2,1,-0.0,11×2(1.000)
113,103,2,1,-0.0,11×2(1.000)
113,127,2,1,-0.0,11×2(1.000)
113,139,2,1,-0.0,11×2(1.000)
113,151,2,1,-0.0,11×2(1.000)
137,67,2,1,-0.0,11×2(1.000)
137,79,2,1,-0.0,11×2(1.000)
137,103,2,1,-0.0,11×2(1.000)
137,127,2,1,-0.0,11×2(1.000)
149,67,2,1,-0.0,11×2(1.000)
149,79,2,1,-0.0,11×2(1.000)
149,103,2,1,-0.0,11×2(1.000)
173,67,2,1,-0.0,11×2(1.000)
173,79,2,1,-0.0,11×2(1.000)
173,103,2,1,-0.0,11×2(1.000)
197,67,2,1,-0.0,11×2(1.000)
197,79,2,1,-0.0,11×2(1.000)
233,43,2,1,-0.0,11×2(1.000)
233,67,2,1,-0.0,11×2(1.000)
257,43,2,1,-0.0,11×2(1.000)
257,67,2,1,-0.0,11×2(1.000)
269,43,2,1,-0.0,11×2(1.000)
269,67,2,1,-0.0,11×2(1.000)
281,31,2,1,-0.0,11×2(1.000)
281,43,2,1,-0.0,11×2(1.000)
293,31,2,1,-0.0,11×2(1.000)
293,43,2,1,-0.0,11×2(1.000)
317,31,2,1,-0.0,11×2(1.000)
317,43,2,1,-0.0,11×2(1.000)
353,31,2,1,-0.0,11×2(1.000)
353,43,2,1,-0.0,11×2(1.000)
389,31,2,1,-0.0,11×2(1.000)
389,43,2,1,-0.0,11×2(1.000)
401,31,2,1,-0.0,11×2(1.000)
401,43,2,1,-0.0,11×2(1.000)
449,31,2,1,-0.0,11×2(1.000)
461,19,2,1,-0.0,11×2(1.000)
461,31,2,1,-0.0,11×2(1.000)
509,19,2,1,-0.0,11×2(1.000)
509,31,2,1,-0.0,11×2(1.000)
521,19,2,1,-0.0,11×2(1.000)
521,31,2,1,-0.0,11×2(1.000)
557,19,2,1,-0.0,11×2(1.000)
557,31,2,1,-0.0,11×2(1.000)
569,19,2,1,-0.0,11×2(1.000)
569,31,2,1,-0.0,11×2(1.000)
593,19,2,1,-0.0,11×2(1.000)
617,19,2,1,-0.0,11×2(1.000)
641,19,2,1,-0.0,11×2(1.000)
653,19,2,1,-0.0,11×2(1.000)
677,19,2,1,-0.0,11×2(1.000)
701,19,2,1,-0.0,11×2(1.000)
761,19,2,1,-0.0,11×2(1.000)
773,19,2,1,-0.0,11×2(1.000)
797,19,2,1,-0.0,11×2(1.000)
809,19,2,1,-0.0,11×2(1.000)
821,19,2,1,-0.0,11×2(1.000)
857,19,2,1,-0.0,11×2(1.000)
881,19,2,1,-0.0,11×2(1.000)
929,19,2,1,-0.0,11×2(1.000)
941,19,2,1,-0.0,11×2(1.000)
953,19,2,1,-0.0,11×2(1.000)
