n,e(E),a(A),b(B),c(C),k_ABC,resid_E8_abs_base,resid_E8_rel_base,min_resid_E8_abs_over_units,min_resid_E8_rel_over_units,best_unit_abs_idx,best_unit_rel_idx,pol_E8_axial_mean_deg,pol_E8_axial_spread_1minusR,octo0_count_tol5deg,octo90_count_tol5deg,H_balance_alpha_min,H_balance_alpha_max,H_balance_alpha_range,H_balance_alpha_absmax,improve_abs,improve_rel,stability_score
4782205,709,5,19,71,1,0.008976214208064798,7.157963733495662e-05,0.008654768960414387,7.157963733495662e-05,8,0,16.103267320511677,0.00041256951198409553,0,0,0.0013598537802516487,0.025717701926022782,0.024357848145771133,0.025717701926022782,0.00032144524765041066,0.0,241.79732089111457
3763513,13,41,307,23,1,0.5640840865425079,0.5708769496076271,0.006628044620606589,0.00016481844451284212,9,9,44.891589490263826,0.6346981224012795,4,4,-0.008195672875776843,-0.0006603753388605867,0.007535297536916256,0.008195672875776843,0.5574560419219012,0.5707121311631143,1.417994713140611
6923137,13,41,31,419,1,0.1455078187117194,0.17818214563916662,0.0324627703229677,0.00021155660447973057,8,8,44.93667680567463,0.6399021093331139,4,4,-5.0015952914840475e-05,0.004499123820648481,0.004549139773563322,0.004499123820648481,0.11304504838875168,0.1779705890346869,1.4064629267670705
9462037,13,53,31,443,1,0.052533195399179215,0.00021740147609332228,0.052533195399179215,0.00021740147609332228,0,0,44.919687481913606,0.5941502824697733,4,4,-0.004335240731919879,0.0014784302311639003,0.005813670963083779,0.004335240731919879,0.0,0.0,1.514765728113675
223405,13,5,7,491,1,0.21296384861118048,0.00026684948375680365,0.21296384861118048,0.00026684948375658166,0,2,44.95182040859789,0.678115763485854,8,8,7.035690559737876e-05,0.002311382487297414,0.002241025581700035,0.002311382487297414,0.0,2.2199039481640703e-16,2.5069428917538668
6477445,13,5,439,227,1,0.028147297114798357,0.000293239029254215,0.028147297114798357,0.000293239029254215,0,0,44.9468222112716,0.6009114920254288,8,8,-0.001377855203250141,0.0001962181265732406,0.0015740733298233815,0.001377855203250141,0.0,0.0,2.829030886460688
4308865,157,5,499,11,1,0.49542815732278817,0.4933232082572267,0.0024159518663331337,0.00031100280077174297,8,8,39.89143401192596,0.5369631218202229,8,0,-0.005504620476395489,0.001143155521783981,0.0066477759981794695,0.005504620476395489,0.493012205456455,0.49301220545645497,1.6760896369558982
7319689,13,41,31,443,1,0.035886811806552205,0.0003176266472180171,0.035886811806552205,0.0003176266472180171,0,0,44.93252889631313,0.620760804267769,8,8,-0.0014486186453660636,0.0032464955415698205,0.004695114186935884,0.0032464955415698205,0.0,0.0,2.738570556874494
6456241,37,29,547,11,1,0.02791298200842553,0.00031847102317004723,0.02791298200842553,0.00031847102317004723,0,0,44.26565167949199,0.6134029938735313,8,8,-0.006041918318751851,-3.444217135200435e-05,0.006007476147399846,0.006041918318751851,0.0,0.0,2.7714198423535175
8175769,61,41,7,467,1,0.39389060672367204,0.35071279179862175,0.043566219007630344,0.00038840408258009095,8,8,44.57224952246975,0.6082020468504403,4,4,-0.0016474948744734086,0.025835439780125088,0.027482934654598497,0.025835439780125088,0.3503243877160417,0.35032438771604163,1.4797689762664306
4478665,37,5,43,563,1,0.005053134229541929,0.00042126698225943454,0.005053134229541929,0.00042126698225943454,0,0,44.28220631584365,0.5181051538043207,4,4,-0.0019474350515955947,0.0006611186964676808,0.0026085537480632754,0.0019474350515955947,0.0,0.0,1.7370957542031313
4431973,13,113,7,431,1,0.004477838985028111,0.0005305198039102458,0.004477838985028111,0.0005305198039102458,0,0,44.918632320459146,0.45293386782045864,4,4,-0.017516204948106896,0.0040817417454274375,0.021597946693534334,0.017516204948106896,0.0,0.0,1.9870406628900916
8859877,13,29,331,71,1,0.5309122279468159,0.48269844416617685,0.03330942738196986,0.0005328934659811762,8,9,44.89192522712379,0.6195186444786431,8,8,-0.0024297178856120443,0.004481684521249426,0.00691140240686147,0.004481684521249426,0.49760280056484607,0.4821655507001957,2.744061492078488
9819265,109,5,43,419,1,0.7199629688583925,0.6653427258127104,0.05404516882962645,0.0005750742160558782,8,8,39.30408801469485,0.4982735610552732,4,0,-0.019041584617642243,0.0005759592232434292,0.01961754384088567,0.019041584617642243,0.6659178000287661,0.6647676515966545,1.0034628276849467
7181473,13,29,43,443,1,0.035766303915844996,0.0007686689579080499,0.035766303915844996,0.0007686689579080499,0,0,44.9316349943303,0.623593962038689,8,8,-0.0017732698669055626,0.0030798463995008393,0.0048531162664064015,0.0030798463995008393,0.0,0.0,2.726128502453374
8175409,37,53,379,11,1,0.6711668371307341,0.627991788710434,0.043973736145123524,0.0007986877248237518,8,8,43.5914319707617,0.5785166368631152,8,4,-0.01014951199414677,-0.00015546366217793724,0.009994048331968833,0.01014951199414677,0.6271931009856105,0.6271931009856103,2.247122502693201
5822005,397,5,7,419,1,0.2958659375070113,0.27425063919400033,0.020813597607358736,0.0008017007056520828,8,8,20.06300116171585,0.16411389488837747,8,0,-0.010999380667085114,0.003932714477595465,0.01493209514468058,0.010999380667085114,0.27505233989965255,0.2734489384883482,5.483962931043729
8277685,13,5,367,347,1,0.043138114028164476,0.0008177361026765922,0.043138114028164476,0.00081773610267637,0,2,44.95299053161628,0.5679758536187176,4,4,-0.0002681635672888783,0.0005369681981645063,0.0008051317654533845,0.0005369681981645063,0.0,2.2215302514227986e-16,1.5845716146104947
4858777,709,89,7,11,1,0.00910309606368062,0.0008338141826587094,0.00910309606368062,0.0008337278447845075,0,8,15.541918612349523,8.377162293848883e-07,0,0,-0.28194763099819214,0.12472286987886338,0.40667050087705553,0.28194763099819214,0.0,8.6337874201977e-08,54415.36533280306
4195633,13,29,31,359,1,0.42253744773426677,0.42217727620942197,0.0005440409420607206,0.0009042124669055573,8,8,44.896810572922604,0.5796170650092136,4,4,-0.003032234448260503,0.002080969365557693,0.005113203813818195,0.003032234448260503,0.42199340679220604,0.4212730637425164,1.5527466349512307
