k,t_k,Delta_t,n_k,mod12,label,q_e,q_a,q_b,q_c,sigma_t,Delta_eff,T,S_ent,u_e,u_a,u_b,u_c,u_norm,Delta_t_active
76,755.0607442283451,9.804401744217962,755,11,C,0.0,0.0,0.0,1.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,9.804401744218012
78,774.6690005365048,9.802886839042126,775,7,B,0.0,0.0,1.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,19.60825630815964
86,853.1130162868053,9.803253412144672,853,1,E,1.0,0.0,0.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,1.0,1.0,78.44401575030054
87,862.9145945959548,9.801578309149509,863,11,C,0.0,0.0,0.0,1.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,9.801578309149477
89,882.5340695274232,9.806383024450705,883,7,B,0.0,0.0,1.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,19.619474931468403
95,941.3756867710972,9.809407153643871,941,5,A,0.0,1.0,0.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,58.84161724367402
97,960.9787631580147,9.801051596786781,961,1,E,1.0,0.0,0.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,1.0,1.0,19.60307638691745
98,970.7858962517192,9.807133093704573,971,11,C,0.0,0.0,0.0,1.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,9.807133093704579
105,1039.432161541947,9.8059283648361,1039,7,B,0.0,0.0,1.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,1.0,1.0,68.64626529022769
106,1049.2385972844368,9.806435742489873,1049,5,A,0.0,1.0,0.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,9.806435742489839
108,1068.845205631123,9.807296207115817,1069,1,E,1.0,0.0,0.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,1.0,1.0,19.606608346686244
109,1078.6454130200266,9.800207388903674,1079,11,C,0.0,0.0,0.0,1.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,9.800207388903573
116,1147.2878284312278,9.801025507151312,1147,7,B,0.0,0.0,1.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,1.0,1.0,68.64241541120123
117,1157.0924775383712,9.804649107143298,1157,5,A,0.0,1.0,0.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,9.804649107143405
119,1176.7038669784451,9.79874313052636,1177,1,E,1.0,0.0,0.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,1.0,1.0,19.611389440073935
120,1186.5087138944568,9.804846916011648,1187,11,C,0.0,0.0,0.0,1.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,9.804846916011684
127,1255.1597328003759,9.80755300086467,1255,7,B,0.0,0.0,1.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,1.0,1.0,68.65101890591905
128,1264.9671971966231,9.807464396247212,1265,5,A,0.0,1.0,0.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,9.80746439624727
130,1284.5733679214125,9.802329223805566,1285,1,E,1.0,0.0,0.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,19.60617072478931
