node,degree,strength
11,81,1372.7848339472716
23,81,1372.7848339472716
47,81,1372.7848339472716
59,81,1372.7848339472716
71,81,1372.7848339472716
83,81,1306.8164347249244
107,81,1212.055566275207
131,81,1102.8127777622408
167,81,985.7024301676041
179,81,971.6206631847871
191,81,927.5212226998807
227,81,833.886102667505
239,81,833.886102667505
251,81,808.55286315364
263,81,769.5025215274115
311,81,676.3329848362191
347,81,619.0145146638317
359,81,619.0145146638317
383,81,576.349935050148
419,81,543.0697951037255
431,81,543.0697951037255
443,81,543.0697951037255
467,81,543.0697951037255
479,81,543.0697951037255
491,81,543.0697951037255
503,81,543.0697951037255
563,81,473.3359799689174
587,81,473.3359799689174
599,81,433.4472297910708
647,81,405.17636322039624
659,81,405.17636322039624
683,81,405.17636322039624
719,81,364.9307097282156
743,81,364.9307097282156
827,81,364.9307097282156
839,81,364.9307097282156
863,81,364.9307097282156
887,81,364.9307097282156
911,81,364.9307097282156
947,81,314.1792229859287
971,81,314.1792229859287
983,81,314.1792229859287
1019,81,265.7948918475345
1031,81,265.7948918475345
1091,81,265.7948918475345
1103,81,265.7948918475345
1151,81,265.7948918475345
1163,81,265.7948918475345
1187,81,265.7948918475345
1223,81,265.7948918475345
1259,81,265.7948918475345
1283,75,255.37083597900505
1307,67,180.42419440922444
1319,67,180.42419440922444
1367,67,180.42419440922444
1427,67,180.42419440922444
1439,67,180.42419440922444
1451,67,180.42419440922444
1487,67,180.42419440922444
1499,67,180.42419440922444
1511,67,180.42419440922444
1523,67,180.42419440922444
1559,67,180.42419440922444
1571,67,180.42419440922444
1583,67,180.42419440922444
1607,67,180.42419440922444
1619,67,180.42419440922444
1667,67,180.42419440922444
1787,52,90.34181752725426
1811,52,90.34181752725426
1823,52,90.34181752725426
1847,52,90.34181752725426
1871,52,90.34181752725426
1907,52,90.34181752725426
1931,52,90.34181752725426
1979,52,90.34181752725426
2003,51,88.60447488249937
2027,51,88.60447488249937
2039,51,88.60447488249937
2063,51,88.60447488249937
2087,51,88.60447488249937
2099,51,88.60447488249937
