metric,min,p1,p5,median,mean,<=0.01,<=0.02,<=0.05
ABS best over 576,2.0021824581996566e-05,0.0053297453759935925,0.04715761537025907,1.4350443435748794,1.7374909737873843,464,655,1150
REL best over 576,1.5352695591245602e-06,0.006195649787104976,0.05062463241140315,1.4422487978153111,1.750300465378411,331,580,1094
Spread (1-R),1.1145528944211947e-12,1.1640244323984916e-11,4.2123533550153525e-09,0.34148342163638734,0.2845384479030823,7517,7986,8671
