,F_balance,H_lam1_balance,H_lam_alpha_balance
count,22051.0,22051.0,22051.0
mean,0.0,0.0005796905452421274,0.0009121003377381208
std,0.0,0.02852511284987831,0.012326305126453097
min,0.0,-0.5162364370796149,-0.10380550006900031
25%,0.0,-0.004508566966904524,-0.0005532990759863127
50%,0.0,5.67451011890232e-05,1.5130705362342347e-06
75%,0.0,0.004133371988304371,0.0007273653607189261
max,0.0,0.593849531379206,0.1531869247608547
