state,nu2,nu3,sigma5,eps5,wE,wA,wB,wC,inner_weight,balance,energy_diag,is_vollschale_1111,is_closed_equal
"|1,0,0;1;0,3,1,0>",1,0,0,1,0,3,1,0,4,4,24.400000000000002,False,False
"|0,1,0;1;0,3,1,0>",0,1,0,1,0,3,1,0,4,4,24.6,False,False
"|0,1,0;1;1,2,0,1>",0,1,0,1,1,2,0,1,4,4,24.6,False,False
"|0,0,1;0;1,2,1,0>",0,0,1,0,1,2,1,0,4,2,24.8,False,False
"|0,0,1;0;1,2,0,0>",0,0,1,0,1,2,0,0,3,5,25.0,False,False
"|0,0,0;0;0,3,0,0>",0,0,0,0,0,3,0,0,3,9,25.5,False,False
"|0,0,1;0;0,2,1,1>",0,0,1,0,0,2,1,1,4,2,25.700000000000003,False,False
"|0,0,1;0;0,2,0,1>",0,0,1,0,0,2,0,1,3,5,25.9,False,False
"|0,0,1;1;1,2,1,0>",0,0,1,1,1,2,1,0,4,2,25.900000000000002,False,False
"|0,0,1;1;1,2,0,0>",0,0,1,1,1,2,0,0,3,5,26.1,False,False
"|1,0,0;0;0,3,0,0>",1,0,0,0,0,3,0,0,3,9,26.5,False,False
"|0,0,0;1;0,3,0,0>",0,0,0,1,0,3,0,0,3,9,26.6,False,False
"|0,1,0;0;0,3,0,0>",0,1,0,0,0,3,0,0,3,9,26.7,False,False
"|0,0,1;1;0,2,1,1>",0,0,1,1,0,2,1,1,4,2,26.800000000000004,False,False
"|0,0,1;1;0,2,0,1>",0,0,1,1,0,2,0,1,3,5,27.0,False,False
"|0,0,0;0;2,2,0,0>",0,0,0,0,2,2,0,0,4,8,27.4,False,False
"|1,0,0;1;0,3,0,0>",1,0,0,1,0,3,0,0,3,9,27.6,False,False
"|0,1,0;1;0,3,0,0>",0,1,0,1,0,3,0,0,3,9,27.8,False,False
"|0,0,1;0;0,3,1,0>",0,0,1,0,0,3,1,0,4,4,28.1,False,False
"|0,0,1;0;1,2,0,1>",0,0,1,0,1,2,0,1,4,4,28.1,False,False
"|1,0,0;0;2,2,0,0>",1,0,0,0,2,2,0,0,4,8,28.4,False,False
"|0,0,0;1;2,2,0,0>",0,0,0,1,2,2,0,0,4,8,28.5,False,False
"|0,1,0;0;2,2,0,0>",0,1,0,0,2,2,0,0,4,8,28.6,False,False
"|0,0,0;0;0,2,0,2>",0,0,0,0,0,2,0,2,4,8,29.2,False,False
"|0,0,1;1;0,3,1,0>",0,0,1,1,0,3,1,0,4,4,29.200000000000003,False,False
"|0,0,1;1;1,2,0,1>",0,0,1,1,1,2,0,1,4,4,29.200000000000003,False,False
"|1,0,0;1;2,2,0,0>",1,0,0,1,2,2,0,0,4,8,29.5,False,False
"|0,1,0;1;2,2,0,0>",0,1,0,1,2,2,0,0,4,8,29.700000000000003,False,False
"|1,0,0;0;0,2,0,2>",1,0,0,0,0,2,0,2,4,8,30.2,False,False
"|0,0,0;1;0,2,0,2>",0,0,0,1,0,2,0,2,4,8,30.3,False,False
"|0,1,0;0;0,2,0,2>",0,1,0,0,0,2,0,2,4,8,30.4,False,False
"|0,0,0;0;1,3,0,0>",0,0,0,0,1,3,0,0,4,10,30.7,False,False
"|0,0,1;0;0,3,0,0>",0,0,1,0,0,3,0,0,3,9,31.3,False,False
"|1,0,0;1;0,2,0,2>",1,0,0,1,0,2,0,2,4,8,31.3,False,False
"|0,1,0;1;0,2,0,2>",0,1,0,1,0,2,0,2,4,8,31.5,False,False
"|0,0,0;0;0,3,0,1>",0,0,0,0,0,3,0,1,4,10,31.6,False,False
"|1,0,0;0;1,3,0,0>",1,0,0,0,1,3,0,0,4,10,31.7,False,False
"|0,0,0;1;1,3,0,0>",0,0,0,1,1,3,0,0,4,10,31.8,False,False
"|0,1,0;0;1,3,0,0>",0,1,0,0,1,3,0,0,4,10,31.9,False,False
"|0,0,1;1;0,3,0,0>",0,0,1,1,0,3,0,0,3,9,32.4,False,False
"|1,0,0;0;0,3,0,1>",1,0,0,0,0,3,0,1,4,10,32.6,False,False
"|0,0,0;1;0,3,0,1>",0,0,0,1,0,3,0,1,4,10,32.7,False,False
"|0,1,0;0;0,3,0,1>",0,1,0,0,0,3,0,1,4,10,32.8,False,False
"|1,0,0;1;1,3,0,0>",1,0,0,1,1,3,0,0,4,10,32.8,False,False
"|0,1,0;1;1,3,0,0>",0,1,0,1,1,3,0,0,4,10,33.0,False,False
"|0,0,1;0;2,2,0,0>",0,0,1,0,2,2,0,0,4,8,33.2,False,False
"|1,0,0;1;0,3,0,1>",1,0,0,1,0,3,0,1,4,10,33.7,False,False
