n,Faktorisierung,P_A,P_B,P_C,R_A,R_B,R_C,Excitation,theta_sum_mod_2pi,wedge_sum,wedge_norm_sum
1926925,13 * 5 * 5 * 7 * 7 * 11 * 11,25,49,121,1.0,1.0,1.0,grundzustand,3.19709115883551,10.0,1.2615384615384615
4029025,13 * 5 * 5 * 7 * 7 * 11 * 23,25,49,253,1.0,1.0,2.090909090909091,C-excitation,3.19709115883551,10.0,1.2615384615384615
5230225,13 * 5 * 5 * 7 * 19 * 11 * 11,25,133,121,1.0,2.7142857142857144,1.0,B-excitation,3.19709115883551,10.0,1.2615384615384615
5484325,37 * 5 * 5 * 7 * 7 * 11 * 11,25,49,121,1.0,1.0,1.0,grundzustand,3.6199450849684505,10.0,0.9621621621621622
6551545,13 * 5 * 17 * 7 * 7 * 11 * 11,85,49,121,3.4,1.0,1.0,A-excitation,3.4157601047094523,12.0,1.0968325791855205
8233225,13 * 5 * 5 * 7 * 7 * 11 * 47,25,49,517,1.0,1.0,4.2727272727272725,C-excitation,3.19709115883551,10.0,1.2615384615384615
8424325,13 * 5 * 5 * 7 * 7 * 23 * 23,25,49,529,1.0,1.0,4.371900826446281,C-doppel,3.19709115883551,10.0,1.2615384615384615
8533525,13 * 5 * 5 * 7 * 31 * 11 * 11,25,217,121,1.0,4.428571428571429,1.0,B-excitation,3.19709115883551,10.0,1.2615384615384615
9041725,61 * 5 * 5 * 7 * 7 * 11 * 11,25,49,121,1.0,1.0,1.0,grundzustand,3.0903554861863745,34.0,1.2918032786885245
