term,coef
intercept,2.030452624396948e-11
omega,-0.7499999999999981
Omega,-0.3500000000000003
tau,0.020000000000000503
logM,0.9999999999982542
nearest_prime_dist,-3.554220409278715e-15
local_gap_proxy,9.636365372633741e-16
sin60,4.435878328384334e-16
cos60,3.021286273020813e-16
coprime60,4.444003243814889e-16
