a,c,total,distinct_b,entropy,top_b_list
53,479,2,1,-0.0,7×2(1.000)
53,491,2,1,-0.0,7×2(1.000)
53,503,2,1,-0.0,7×2(1.000)
89,167,2,1,-0.0,7×2(1.000)
89,179,2,1,-0.0,7×2(1.000)
89,191,2,1,-0.0,7×2(1.000)
89,227,2,1,-0.0,7×2(1.000)
89,239,2,1,-0.0,7×2(1.000)
89,251,2,1,-0.0,7×2(1.000)
89,263,2,1,-0.0,7×2(1.000)
89,311,2,1,-0.0,7×2(1.000)
101,167,2,1,-0.0,7×2(1.000)
101,179,2,1,-0.0,7×2(1.000)
101,191,2,1,-0.0,7×2(1.000)
101,227,2,1,-0.0,7×2(1.000)
101,239,2,1,-0.0,7×2(1.000)
101,251,2,1,-0.0,7×2(1.000)
101,263,2,1,-0.0,7×2(1.000)
113,131,2,1,-0.0,7×2(1.000)
113,167,2,1,-0.0,7×2(1.000)
113,179,2,1,-0.0,7×2(1.000)
113,191,2,1,-0.0,7×2(1.000)
113,227,2,1,-0.0,7×2(1.000)
113,239,2,1,-0.0,7×2(1.000)
113,251,2,1,-0.0,7×2(1.000)
137,107,2,1,-0.0,7×2(1.000)
137,131,2,1,-0.0,7×2(1.000)
137,167,2,1,-0.0,7×2(1.000)
137,179,2,1,-0.0,7×2(1.000)
137,191,2,1,-0.0,7×2(1.000)
149,107,2,1,-0.0,7×2(1.000)
149,131,2,1,-0.0,7×2(1.000)
149,167,2,1,-0.0,7×2(1.000)
149,179,2,1,-0.0,7×2(1.000)
149,191,2,1,-0.0,7×2(1.000)
173,83,2,1,-0.0,7×2(1.000)
173,107,2,1,-0.0,7×2(1.000)
173,131,2,1,-0.0,7×2(1.000)
197,71,2,1,-0.0,7×2(1.000)
197,83,2,1,-0.0,7×2(1.000)
197,107,2,1,-0.0,7×2(1.000)
197,131,2,1,-0.0,7×2(1.000)
233,59,2,1,-0.0,7×2(1.000)
233,71,2,1,-0.0,7×2(1.000)
233,83,2,1,-0.0,7×2(1.000)
233,107,2,1,-0.0,7×2(1.000)
257,59,2,1,-0.0,7×2(1.000)
257,71,2,1,-0.0,7×2(1.000)
257,83,2,1,-0.0,7×2(1.000)
257,107,2,1,-0.0,7×2(1.000)
269,59,2,1,-0.0,7×2(1.000)
269,71,2,1,-0.0,7×2(1.000)
269,83,2,1,-0.0,7×2(1.000)
281,59,2,1,-0.0,7×2(1.000)
281,71,2,1,-0.0,7×2(1.000)
281,83,2,1,-0.0,7×2(1.000)
293,47,2,1,-0.0,7×2(1.000)
293,59,2,1,-0.0,7×2(1.000)
293,71,2,1,-0.0,7×2(1.000)
293,83,2,1,-0.0,7×2(1.000)
317,47,2,1,-0.0,7×2(1.000)
317,59,2,1,-0.0,7×2(1.000)
317,71,2,1,-0.0,7×2(1.000)
317,83,2,1,-0.0,7×2(1.000)
353,47,2,1,-0.0,7×2(1.000)
353,59,2,1,-0.0,7×2(1.000)
353,71,2,1,-0.0,7×2(1.000)
389,47,2,1,-0.0,7×2(1.000)
389,59,2,1,-0.0,7×2(1.000)
389,71,2,1,-0.0,7×2(1.000)
401,47,2,1,-0.0,7×2(1.000)
401,59,2,1,-0.0,7×2(1.000)
401,71,2,1,-0.0,7×2(1.000)
449,47,2,1,-0.0,7×2(1.000)
449,59,2,1,-0.0,7×2(1.000)
461,47,2,1,-0.0,7×2(1.000)
461,59,2,1,-0.0,7×2(1.000)
509,47,2,1,-0.0,7×2(1.000)
521,47,2,1,-0.0,7×2(1.000)
557,47,2,1,-0.0,7×2(1.000)
569,47,2,1,-0.0,7×2(1.000)
593,47,2,1,-0.0,7×2(1.000)
617,23,2,1,-0.0,7×2(1.000)
641,23,2,1,-0.0,7×2(1.000)
653,23,2,1,-0.0,7×2(1.000)
677,23,2,1,-0.0,7×2(1.000)
701,23,2,1,-0.0,7×2(1.000)
761,23,2,1,-0.0,7×2(1.000)
773,23,2,1,-0.0,7×2(1.000)
797,23,2,1,-0.0,7×2(1.000)
809,23,2,1,-0.0,7×2(1.000)
821,23,2,1,-0.0,7×2(1.000)
857,23,2,1,-0.0,7×2(1.000)
881,23,2,1,-0.0,7×2(1.000)
929,23,2,1,-0.0,7×2(1.000)
941,23,2,1,-0.0,7×2(1.000)
953,23,2,1,-0.0,7×2(1.000)
977,23,2,1,-0.0,7×2(1.000)
1013,23,2,1,-0.0,7×2(1.000)
1049,23,2,1,-0.0,7×2(1.000)
1061,23,2,1,-0.0,7×2(1.000)
1097,23,2,1,-0.0,7×2(1.000)
1109,23,2,1,-0.0,7×2(1.000)
1181,23,2,1,-0.0,7×2(1.000)
1193,23,2,1,-0.0,7×2(1.000)
1217,23,2,1,-0.0,7×2(1.000)
1229,23,2,1,-0.0,7×2(1.000)
