Omega,P_E_centered,P_A_centered,P_B_centered,P_C_centered,P_total_centered
0.001,6.774996331407686e-10,6.422119948979449e-10,1.8215987929442824e-09,1.7634347992906255e-09,4.904745220273621e-09
0.01329390471072326,1.1973308861505824e-07,1.1349677823670713e-07,3.2192733377693476e-07,3.1164813366891734e-07,8.668053342976175e-07
0.02558780942144652,4.435833872773425e-07,4.20479299255128e-07,1.1926662906055334e-06,1.1545842373124273e-06,3.211313214450431e-06
0.03788171413216978,9.722283826105778e-07,9.215897595622993e-07,2.6140384687132768e-06,2.530571758824289e-06,7.038428369710444e-06
0.05017561884289304,1.7056680533684298e-06,1.6168281338621428e-06,4.586043867209189e-06,4.439610719536763e-06,1.2348150773976525e-05
0.0624695235536163,2.6439023700806893e-06,2.506194387086094e-06,7.108682484792214e-06,6.881701149105428e-06,1.9140480391064425e-05
0.07476342826433956,3.786931295063794e-06,3.5896884743347394e-06,1.0181954319829215e-05,9.856843085401361e-06,2.741541717462911e-05
0.08705733297506282,5.134754782379591e-06,4.867310340942021e-06,1.3805859370430167e-05,1.3365036574633106e-05,3.7172961068384884e-05
0.09935123768578608,6.687372777881545e-06,6.339059922432788e-06,1.7980397634212612e-05,1.7406281671238507e-05,4.8413112005765454e-05
0.11164514239650933,8.44478521922147e-06,8.004937144540843e-06,2.2705569108449572e-05,2.1980578437885558e-05,6.113586991009744e-05
0.1239390471072326,1.0406992035728902e-05,9.8649419231885e-06,2.7981373790144597e-05,2.7087926945660593e-05,7.53412346947226e-05
0.13623295181795586,1.2573993148612265e-05,1.1919074164525348e-05,3.380781167591841e-05,3.272832727369865e-05,9.102920626275466e-05
0.1485268565286791,1.4945788470789036e-05,1.4167333764892304e-05,4.018488276201854e-05,3.8901779509667575e-05,0.00010819978450736745
0.16082076123940237,1.752237790696758e-05,1.6609720610837375e-05,4.7112587044319845e-05,4.560828374931165e-05,0.00012685296931143645
0.17311466595012565,2.030376135363297e-05,1.9246234579066348e-05,5.459092451841015e-05,5.2847840096674406e-05,0.00014698876054778387
0.1854085706608489,2.3289938699025764e-05,2.2076875536621756e-05,6.261989517943811e-05,6.062044866423597e-05,0.00016860715807932159
0.19770247537157215,2.6480909823156116e-05,2.5101643340585946e-05,7.11994990222527e-05,6.89261095725181e-05,0.00019170816175851288
0.2099963800822954,2.9876674597896204e-05,2.8320537838297126e-05,8.032973604141043e-05,7.77648229503926e-05,0.00021629177142799637
0.22229028479301866,3.34772328866789e-05,3.173355886741307e-05,9.001060623091318e-05,8.713658893515432e-05,0.00024235798692015948
0.23458418950374194,3.728258454500583e-05,3.534070625562059e-05,0.00010024210958454879,9.70414076722186e-05,0.0002699068080573938
0.2468780942144652,4.129272941985396e-05,3.914197982095469e-05,0.00011102424609604658,0.00010747927931521732,0.00029893823465207257
0.25917199892518844,4.5507667350169974e-05,4.3137379371441465e-05,0.00012235701575810434,0.00011845020402630658,0.00032945226650602237
0.2714659036359117,4.9927398166517245e-05,4.732690470564641e-05,0.00013424041856342656,0.00012995418197538547,0.0003614489034109757
0.28375980834663495,5.455192169143854e-05,5.171055561211138e-05,0.0001466744545046122,0.0001419912133414409,0.00039492814514960307
0.2960537130573582,5.93812377390986e-05,5.628833186951553e-05,0.00015965912357357207,0.00015456129831106064,0.00042988999149324686
0.3083476177680815,6.441534611540663e-05,6.106023324693524e-05,0.00017319442576189462,0.00016766443707938997,0.0004663344422036264
0.32064152247880473,6.965424661828079e-05,6.602625950357512e-05,0.0001872803610611057,0.00018130062984971217,0.0005042614970326737
