N,W,P_311_107
200000000,400,-9.400018800037602e-05
200000000,600,0.0019395174845268232
200000000,800,0.0019505174397263791
200000000,1000,0.0016195274457014436
200000000,1200,0.0016232823958307746
200000000,1500,0.002263797921069788
200000000,2000,0.0007099559149172374
200000000,3000,0.0014171046114659358
