observable,corr_with_Delta_res,corr_with_Lambda_res,corr_with_thetaZ_res,score_abs_sum
BridgeP_W_res,-0.184596999370895,-0.07581691099909649,-0.6132734182632321,0.8736873286332236
Bridge345_W_res,-0.1813277688959822,-0.07494490331444882,-0.6152148779784233,0.8714875501888544
BridgeP_M_res,-0.16942156832968627,-0.07173630031661328,-0.6213922667726998,0.8625501354189993
Bridge345_M_res,-0.16907090164216126,-0.07164104663369994,-0.6215537397572111,0.8622656880330722
K_add_res,0.16766247891493763,0.07125804814009219,0.622190852690996,0.8611113797460259
GP_235_res,-0.3144587936818324,-0.093617509368501,-0.0782019499596234,0.48627825300995675
