n_max,k,counts,delta_prob,chi3_proj,chi3_abs,chi3_arg_deg,var_chi3_pair_pct,std_theory,z_score,ratio_obs_theory,b_101_11,b_over_sqrt_k,runtime_s
100000000,4767,"[765, 831, 786, 809, 809, 767]","[-0.006188378435074471, 0.007656807216278594, -0.0017830920914621295, 0.003041745332494239, 0.003041745332494239, -0.005768827354730416]",(-0.000786658275645062-0.002634228729782747j),0.00274918028573131,-106.62717419188327,59.71316818774445,0.002413938345963201,1.1388775899470382,1.1388775899470382,66,0.9559195850014276,3.1421397079975577
300000000,10972,"[1801, 1852, 1775, 1860, 1863, 1821]","[-0.0025215700571150634, 0.0021266253493741616, -0.004891238303560558, 0.00285575404058816, 0.003129177299793423, -0.0006987483290800678]",(8.354599586826994e-05-0.0015654548403564819j),0.0015676826179495513,-86.94510760092457,55.3931766174329,0.0015911306811488026,0.9852632700273735,0.9852632700273735,51,0.48688598843153363,9.216117625001061
1000000000,28387,"[4724, 4801, 4682, 4742, 4762, 4676]","[-0.00025246298188136285, 0.0024600462653092403, -0.0017320134803489873, 0.00038163008889047223, 0.001086177945303607, -0.0019433778372729138]",(3.229177675227297e-05-0.0010423504173025782j),0.001042850493261943,-88.22555742395008,91.79092535750137,0.000989211145035631,1.0542243670580358,1.0542243670580358,77,0.45701554900646146,32.95838399999775
