level,eigenvalue
1,-0.29489402075347565
2,1.0539669871897683
3,1.343481826045502
4,4.636735481519125
5,5.2050046316661485
6,5.504954353233339
7,5.786686594006476
8,5.985567197910931
9,6.073353052066319
10,6.275087976649061
11,6.305356243571344
12,6.553961415379819
13,6.8434461568712575
14,6.85395889312159
15,7.143429634819047
16,7.42235993699866
17,7.653978284265721
18,7.71183201421722
19,7.872997252918907
20,7.943550451455696
