e,exc_combo,count,p(e|combo)
1597,C,1,0.000646830530401035
1597,grundzustand,1,0.004830917874396135
1657,C,1,0.000646830530401035
1693,C,1,0.000646830530401035
1693,B,1,0.001092896174863388
1693,A,1,0.0017241379310344827
1669,grundzustand,1,0.004830917874396135
1669,C,1,0.000646830530401035
1669,B,1,0.001092896174863388
1669,A,1,0.0017241379310344827
1657,grundzustand,1,0.004830917874396135
1657,B,1,0.001092896174863388
1609,A,1,0.0017241379310344827
1657,A,1,0.0017241379310344827
1621,grundzustand,1,0.004830917874396135
1621,C,1,0.000646830530401035
1621,B,1,0.001092896174863388
1621,A,1,0.0017241379310344827
1609,grundzustand,1,0.004830917874396135
1609,C,1,0.000646830530401035
1609,B,1,0.001092896174863388
6733,grundzustand,1,0.004830917874396135
