metric,value
N,10000000
quadruplets,899
family_11,318
family_101,288
family_191,292
triples,896
neutral,189
neutral_rate,0.2109375
neutral_perm_mean,199.2812
neutral_p_greater,0.7829217078292171
neutral_p_less,0.24127587241275872
mono,85
mono_rate,0.09486607142857142
mono_perm_mean,99.5108
mono_p_greater,0.9104089591040896
mono_p_less,0.10698930106989302
plus,94
minus,95
orient_diff,-1
orient_p_two_sided,0.9755024497550245
