center,a0,b0,c0,rad_abc,abc_quality_q,abc_eps_eff,e_near,d_e,K_add,GP_235,BridgeP_M
82725,6843425609,12,6843425621,280994844888228769134,0.48097308600747257,-0.5190269139925274,82729,4.0,4.394449154672439,0.0,-4.394449154672439
88815,7888104209,12,7888104221,373333128640204597134,0.48108721567112755,-0.5189127843288724,88813,2.0,-4.31748811353631,0.0,4.31748811353631
97845,9573644009,12,9573644021,549927958355671921134,0.48124060326422,-0.51875939673578,97849,4.0,4.23410650459726,0.0,-4.23410650459726
99135,9827748209,12,9827748221,579507809864614117134,0.48126116101522565,-0.5187388389847744,99133,2.0,-4.343805421853684,0.0,4.343805421853684
101115,10224243209,12,10224243221,627210895916841217134,0.4812921148501191,-0.518707885149881,101113,2.0,-4.174387269895637,0.0,4.174387269895637
109845,12065924009,12,12065924021,873519134014522321134,0.4814206311284575,-0.5185793688715425,109849,4.0,4.418840607796598,0.0,-4.418840607796598
116535,13580406209,12,13580406221,1106564597786463757134,0.4815113070490517,-0.5184886929509482,116533,2.0,-4.51085950651685,0.0,4.51085950651685
119295,14231297009,12,14231297021,1215178888374887461134,0.4815469639971835,-0.5184530360028166,119293,2.0,-4.61512051684126,0.0,4.61512051684126
122205,14934062009,12,14934062021,1338157249607195161134,0.48158353284660227,-0.5184164671533977,122209,4.0,4.6913478822291435,0.0,-4.6913478822291435
135465,18350766209,12,18350766221,2020503724065512557134,0.4817382196232474,-0.5182617803767526,135469,4.0,4.74493212836325,0.0,-4.74493212836325
144165,20783547209,12,20783547221,2591735009028805537134,0.4818304350530641,-0.5181695649469359,144169,4.0,4.59511985013459,0.0,-4.59511985013459
157275,24735425609,12,24735425621,3671047682131188769134,0.48195782919160773,-0.5180421708083922,157273,2.0,-4.418840607796598,0.0,4.418840607796598
165705,27458147009,12,27458147021,4523699024984120461134,0.4820333985248663,-0.5179666014751336,165709,4.0,4.465908118654584,0.0,-4.465908118654584
166845,27837254009,12,27837254021,4649476266573801721134,0.4820432745673417,-0.5179567254326582,166849,4.0,4.442651256490317,0.0,-4.442651256490317
171165,29297457209,12,29297457221,5150045995588533337134,0.48208000137937196,-0.517919998620628,171169,4.0,4.48863636973214,0.0,-4.48863636973214
187635,35206893209,12,35206893221,7437151979114478217134,0.4822107635220042,-0.5177892364779958,187633,2.0,-4.727387818712341,0.0,4.727387818712341
194865,37972368209,12,37972368221,8651404487133253717134,0.48226402475826263,-0.5177359752417374,194869,4.0,4.74493212836325,0.0,-4.74493212836325
195735,38312190209,12,38312190221,8806943514422050477134,0.4822702791485136,-0.5177297208514864,195733,2.0,-4.672828834461906,0.0,4.672828834461906
201495,40600235009,12,40600235021,9890274499639392301134,0.48231089158065815,-0.5176891084193418,201493,2.0,-4.553876891600541,0.0,4.553876891600541
201825,40733330609,12,40733330621,9955225337945377669134,0.48231317749689384,-0.5176868225031062,201829,4.0,4.442651256490317,0.0,-4.442651256490317
217365,47247543209,12,47247543221,13393982039119755217134,0.4824161787526214,-0.5175838212473787,217369,4.0,4.48863636973214,0.0,-4.48863636973214
225345,50780369009,12,50780369021,15471875263797432421134,0.4824658116698372,-0.5175341883301627,225349,4.0,4.653960350157523,0.0,-4.653960350157523
240045,57621602009,12,57621602021,19921494112650312361134,0.4825521319992541,-0.5174478680007459,240049,4.0,4.77912349311153,0.0,-4.77912349311153
243705,59392127009,12,59392127021,21164548508195356861134,0.4825726758449192,-0.5174273241550809,243709,4.0,4.77912349311153,0.0,-4.77912349311153
247605,61308236009,12,61308236021,22552198819625658481134,0.4825941780818862,-0.5174058219181138,247609,4.0,4.727387818712341,0.0,-4.727387818712341
247995,61501520009,12,61501520021,22694621784932673601134,0.4825963067582007,-0.5174036932417994,247993,2.0,-4.709530201312334,0.0,4.709530201312334
257865,66494358209,12,66494358221,26528998046548427917134,0.48264892665252856,-0.5173510733474714,257869,4.0,4.634728988229636,0.0,-4.634728988229636
260415,67815972209,12,67815972221,27594036524793912037134,0.4826621439068824,-0.5173378560931177,260413,2.0,-4.8283137373023015,0.0,4.8283137373023015
266685,71120889209,12,71120889221,30349085296393819897134,0.48269401720059124,-0.5173059827994088,266689,4.0,4.709530201312334,0.0,-4.709530201312334
268815,72261504209,12,72261504221,31330349948486776597134,0.48270464854900663,-0.5172953514509934,268813,2.0,-4.653960350157523,0.0,4.653960350157523
276045,76200842009,12,76200842021,34839409942769935561134,0.4827400229213458,-0.5172599770786541,276049,4.0,4.672828834461906,0.0,-4.672828834461906
284745,81079715009,12,81079715021,39443521121481698701134,0.4827811982667353,-0.5172188017332646,284749,4.0,5.003946305945459,0.0,-5.003946305945459
285285,81387531209,12,81387531221,39743581423635596257134,0.48278370598675274,-0.5172162940132472,285289,4.0,5.0689042022202315,0.0,-5.0689042022202315
294315,86621319209,12,86621319221,45019517655281569297134,0.48282484700858336,-0.5171751529914166,294313,2.0,-4.74493212836325,0.0,4.74493212836325
