n,epsilon,kappa,C_fam,K,K2,K3,rho_E,rho_A,rho_B,rho_C,mB,sB,fam_support
938,0.8987182194374889,0.385615685739435,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,469,2,B
939,0.8394971651163946,0.16050283488360534,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,313,3,E
940,0.7974994615186086,0.4375963832462724,0.6063861053233548,0.4835925924677417,2.057001870668458,2.469987158130463,0.0,0.29479122696485405,0.0,0.7052087730351458,235,4,A·C
941,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,941,1,A
942,0.738353082775787,0.2616469172242129,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,157,6,E
943,1.0,0.0,0.6895810541955651,0.6895810541955651,6.81382898162885,4.722986347433681,0.0,0.5422012159701927,0.0,0.45779878402980734,943,1,A·C
944,0.5952499771548164,0.4047500228451836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59,16,C
945,0.5189391468944057,1.0,0.6886622640698201,0.35737380781476236,0.7347790443548765,0.1787155674342239,0.0,0.4526808302869428,0.5473191697130572,0.0,35,27,A·B
946,0.8988437473462277,0.45109939150709505,0.6684455924104493,0.6008281411792774,3.7474732516092457,3.653688987935931,0.0,0.0,0.610674113396789,0.3893258866032111,473,2,B·C
947,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,947,1,C
948,0.6374703629684622,0.3625296370315379,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,79,12,B
949,1.0,0.37414973093677967,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,949,1,E
950,0.8989059981492874,0.5705600080942415,0.69215550469573,0.6221827348230389,3.883055298750631,3.78620663219637,0.0,0.5222637374876672,0.4777362625123328,0.0,475,2,A·B
951,0.839794380492991,0.16020561950700893,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,317,3,A
952,0.6968109901806754,0.5869087294960088,0.6758115214904612,0.47091289546527704,1.4699392827592097,1.8244761671373904,0.0,0.5928311641538279,0.40716883584617214,0.0,119,8,A·B
953,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,953,1,A
954,0.5787037674030147,0.4212962325969853,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,53,18,A
955,1.0,0.2345534273555354,0.5447200300104249,0.5447200300104249,5.392378000138585,3.7377116073095364,0.0,0.2345534273555354,0.0,0.7654465726444646,955,1,A·C
956,0.7979974845851003,0.20200251541489972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,239,4,C
957,0.8399411775057339,0.5094125460849378,0.6789430647399898,0.5702722372570588,2.8235248053482844,3.1683413219071226,0.0,0.5840735840239398,0.0,0.4159264159760602,319,3,A·C
958,0.8990294900952882,0.10097050990471176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,479,2,C
959,1.0,0.28341698518547337,0.5961516424081884,0.5961516424081884,5.905112731730285,4.093112240887484,0.0,0.7165830148145266,0.28341698518547337,0.0,959,1,A·B
960,0.2343750617289158,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,192,A
961,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,961,1,B
962,0.8990907377560154,0.47431790417994035,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,481,2,E
963,0.6801735815382647,0.31982641846173526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,107,9,C
964,0.79824247682355,0.20175752317644993,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,241,4,E
965,1.0,0.23419789164298502,0.5442991587412764,0.5442991587412764,5.396391486869226,3.7404935443210956,0.7658021083570149,0.23419789164298502,0.0,0.0,965,1,E·A
966,0.739310816321703,0.5438062744377468,0.6654885616623426,0.4920028917753425,1.7378071046702455,2.189221050056799,0.0,0.0,0.38294731323970577,0.6170526867602942,161,6,B·C
967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,967,1,B
968,0.697545986043426,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,121,8,C
969,0.8402312373540226,0.1597687626459774,0.6929618684449177,0.5822482081626287,2.8880538372032234,3.2423963248734906,0.0,0.49037449565257113,0.5096255043474288,0.0,323,3,A·B
970,0.8992122524093945,0.33480965034164833,0.5733204705518576,0.5155367916773499,3.227252406227289,3.1481036843947052,0.7397478714018934,0.2602521285981066,0.0,0.0,485,2,E·A
971,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,971,1,C
972,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,972,1
973,1.0,0.2828199887988037,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,973,1,B
974,0.8992725256528349,0.10072747434716509,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,487,2,B
975,0.8403745339790456,1.0,0.6867420713019425,0.5771205481341745,2.8651895276792154,3.217532807083754,0.44346937824084953,0.5565306217591505,0.0,0.0,325,3,E·A
976,0.5972101703999309,0.4027898296000692,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61,16,E
977,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,977,1,A
978,0.739778236457114,0.26022176354288595,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,163,6,B
979,1.0,0.3482007195014129,0.6463256930206286,0.6463256930206286,6.421352435959436,4.45094233636702,0.0,0.651799280498587,0.0,0.3482007195014129,979,1,A·C
980,0.798724678077507,1.0,0.6044263432735723,0.48277023645274875,2.0660041359249477,2.4871925522107965,0.0,0.2925581477613893,0.7074418522386106,0.0,245,4,A·B
981,0.6810333940401267,0.31896660595987314,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,109,9,E
982,0.8993921192800769,0.10060788071992313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,491,2,C
983,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,983,1,C
984,0.5388528225672711,0.46114717743272904,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,41,24,A
985,1.0,0.23350088343783626,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,985,1,A
986,0.8994514456617558,0.10054855433824417,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,493,2,A
987,0.8406577425192663,0.44157623502075294,0.6381624647883999,0.536476217009547,2.668139324534448,2.9977333743010726,0.0,0.0,0.33572994485749474,0.6642700551425053,329,3,B·C
988,0.7989619850732611,0.5730025425723119,0.69077303699139,0.5519013968697262,2.364637295949917,2.848122147262625,0.4655597319958416,0.0,0.5344402680041583,0.0,247,4,E·B
989,1.0,0.0,0.6890259596445427,0.6890259596445427,6.855688897677701,4.7520014302214175,0.0,0.0,0.5453627397183188,0.45463726028168105,989,1,B·C
990,0.580966164582685,1.0,0.6736643248589924,0.39137617902951277,0.9168461033887394,0.7524570658400496,0.0,0.4016231838083946,0.0,0.5983768161916053,55,18,A·C
991,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,991,1,B
992,0.4976992773607785,0.5023007226392215,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31,32,B
993,0.840797686193985,0.159202313806015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,331,3,B
994,0.8995691722525424,0.3823758063506019,0.6218115375455369,0.5593624901269193,3.5140449000414438,3.429565996027696,0.0,0.0,0.31342223288637994,0.6865777671136201,497,2,B·C
995,1.0,0.23315919102275576,0.543065539643356,0.543065539643356,5.40814680447235,3.7486417095742874,0.0,0.23315919102275576,0.7668408089772442,0.0,995,1,A·B
996,0.6400640757730477,0.3599359242269524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,83,12,C
997,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,997,1,E
998,0.8996275782197981,0.10037242178020188,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,499,2,B
999,0.5228096303356485,0.4771903696643514,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37,27,E
1000,0.6989700043360189,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,125,8,A
