n,epsilon,kappa,C_fam,K,K2,K3,rho_E,rho_A,rho_B,rho_C,mB,sB,fam_support
781,1.0,0.3600132449306703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,781,1,C
782,0.8959528228165469,0.10404717718345315,0.6918642104593025,0.6198776923667535,3.758864875303862,3.6499714166415465,0.0,0.474677862097027,0.0,0.525322137902973,391,2,A·C
783,0.505362264811651,0.4946377351883491,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29,27,A
784,0.583970804646981,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49,16,B
785,1.0,0.24145128700608987,0.5527470311494882,0.5527470311494882,5.31551882330288,3.684436885585709,0.7585487129939101,0.24145128700608987,0.0,0.0,785,1,E·A
786,0.7312477754074058,0.2687522245925941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,131,6,C
787,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,787,1,B
788,0.792144125023742,0.20785587497625796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,197,4,A
789,0.8353094328555641,0.164690567144436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,263,3,C
790,0.8961115470762944,0.345109970501641,0.5824484656946702,0.5219387956858649,3.1698105657931457,3.0786703285126364,0.0,0.26918693143164896,0.730813068568351,0.0,395,2,A·B
791,1.0,0.29159647275667167,0.6035749562945394,0.6035749562945394,5.810938343544863,4.027835529235801,0.0,0.7084035272433283,0.29159647275667167,0.0,791,1,A·B
792,0.35925885343404146,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11,72,C
793,1.0,0.38421469117832696,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,793,1,E
794,0.8961901278330764,0.10380987216692365,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,397,2,E
795,0.8354962549376712,0.4054973756375728,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,265,3,A
796,0.7924584510912317,0.20754154890876825,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,199,4,B
797,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,797,1,A
798,0.7318571760548952,0.5593548149920565,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,133,6,B
799,1.0,0.0,0.6815258947459417,0.6815258947459417,6.571307907209361,4.554883548473444,0.0,0.423920444675516,0.0,0.5760795553244841,799,1,A·C
800,0.48153519695768116,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25,32,A
801,0.6713625074270103,0.32863749257298963,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,89,9,A
802,0.8963457570070646,0.10365424299293534,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,401,2,A
803,1.0,0.35851795775696615,0.652560711354113,0.652560711354113,6.296725475238768,4.364557509921734,0.6414820422430338,0.0,0.0,0.35851795775696615,803,1,E·C
804,0.6285417780947318,0.37145822190526817,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,67,12,B
805,1.0,0.5313752610024346,1.0571151627510456,1.0571151627510456,10.2041687846456,7.0729908230349015,0.0,0.24054339434452304,0.2908318666579116,0.4686247389975653,805,1,A·B·C
806,0.8964228172822721,0.48685830353956533,0.6826171880501417,0.6119136228372106,3.7274088861428347,3.6218230279085155,0.4275673414738026,0.0,0.5724326585261974,0.0,403,2,E·B
807,0.8358644608991286,0.16413553910087134,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,269,3,A
808,0.6893834841618889,0.3106165158381112,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,101,8,A
809,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,809,1,A
810,0.24032099178750552,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,162,A
811,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,811,1,B
812,0.7930749622013699,0.49738104947910017,0.6569243417287531,0.5209902474856907,2.1686915122885906,2.579683829630335,0.0,0.6337597005026616,0.3662402994973384,0.0,203,4,A·B
813,0.8360459074230413,0.16395409257695884,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,271,3,B
814,0.8965754581187741,0.4612146722082159,0.6726299341036128,0.6030634913133476,3.6789208155181763,3.5754760745810312,0.6009369573000384,0.0,0.0,0.3990630426999616,407,2,E·C
815,1.0,0.24010036496737489,0.5511955891182769,0.5511955891182769,5.330423068393185,3.6947677210484287,0.0,0.24010036496737489,0.759899635032625,0.0,815,1,A·B
816,0.422589236591327,0.577410763408673,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17,48,A
817,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,817,1,B
818,0.8966510499586239,0.10334895004137626,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,409,2,E
819,0.672451246902953,1.0,0.6837009379553649,0.45975554823680365,1.3393984374233154,1.581834371167091,0.5686165471914938,0.0,0.43138345280850626,0.0,91,9,E·B
820,0.7933773323112483,0.44650415626229584,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,205,4,A
821,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,821,1,A
822,0.73304100519921,0.26695899480079,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,137,6,A
823,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,823,1,B
824,0.6902906274994667,0.3097093725005333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,103,8,B
825,0.8364036384127069,1.0,0.6824265759401598,0.570784071065875,2.7649494764761293,3.0833116455786906,0.0,0.5730829633070589,0.0,0.42691703669294107,275,3,A·C
826,0.8968008039888667,0.39291596688537606,0.6291514702535151,0.5642235443541299,3.449498015082995,3.3535663413550623,0.0,0.0,0.32305587772180383,0.6769441222781961,413,2,B·C
827,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,827,1,C
828,0.4666599311362748,0.5333400688637252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23,36,C
829,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,829,1,E
830,0.8968749769147325,0.34257391147285793,0.5802332480370613,0.5203966809383996,3.1838417082572734,3.095620585921479,0.0,0.26698134584075395,0.0,0.7330186541592462,415,2,A·C
831,0.8365799810203988,0.16342001897960118,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,277,3,E
832,0.3814713379663383,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13,64,E
833,1.0,0.5787064429995417,0.6807060924389222,0.6807060924389222,6.604328056822827,4.577771372079685,0.0,0.42129355700045823,0.5787064429995417,0.0,833,1,A·B
834,0.7336162214353543,0.26638377856464557,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,139,6,B
835,1.0,0.23923511649905016,0.5501966576334733,0.5501966576334733,5.340006499745438,3.701410449470332,0.0,0.23923511649905016,0.0,0.76076488350095,835,1,A·C
836,0.7939707419095684,0.5624013229916431,0.6879049299829808,0.546176387621837,2.2834171117452224,2.7213793441215537,0.0,0.0,0.5511521444176823,0.4488478555823177,209,4,B·C
837,0.5102640378881976,0.4897359621118023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31,27,B
838,0.8970219407803551,0.10297805921964484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,419,2,C
839,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,839,1,C
840,0.5280166130881663,1.0,0.6886622640698201,0.3636251162357748,0.7606488037424677,0.2598282994383652,0.0,0.4526808302869428,0.5473191697130572,0.0,35,24,A·B
841,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,841,1,A
842,0.8970947419460946,0.10290525805390541,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,421,2,E
843,0.8369277605906572,0.1630722394093427,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,281,3,A
844,0.7942619490681299,0.2057380509318701,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,211,4,B
845,1.0,1.0,0.5497072657023844,0.5497072657023844,5.344697942909762,3.704662310072441,0.7611874875190437,0.2388125124809562,0.0,0.0,845,1,E·A
846,0.5711945024270328,0.42880549757296715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47,18,C
847,1.0,1.0,0.6009275460802993,0.6009275460802993,5.844752411129145,4.051273654845108,0.0,0.0,0.2886378730220006,0.7113621269779994,847,1,B·C
848,0.5888124272106204,0.41118757278937956,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,53,16,A
849,0.8370992516053237,0.16290074839467622,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,283,3,B
850,0.8972390077016452,0.5799682624504624,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,425,2,A
851,1.0,0.0,0.6906620686954754,0.6906620686954754,6.7222244967203855,4.659490956992732,0.5352352989748056,0.0,0.0,0.4647647010251944,851,1,E·C
852,0.6317340074250734,0.36826599257492676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,71,12,C
853,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,853,1,E
854,0.8973104820390178,0.3909754416524682,0.627828866460564,0.5633574228017388,3.4612973845685464,3.367446032760507,0.6787222154851072,0.0,0.3212777845148927,0.0,427,2,E·B
855,0.6745383568227922,0.5638579878091857,0.6495389792872432,0.4381389557807707,1.284608571891605,1.530737538742167,0.0,0.35342148036602605,0.646578519633974,0.0,95,9,A·B
856,0.6920381700017124,0.3079618299982875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,107,8,C
857,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,857,1,A
858,0.734735086936645,1.0,0.6925805436149368,0.5088632259235495,1.7663557762780204,2.1962318846766995,0.5168304769853754,0.0,0.0,0.4831695230146247,143,6,E·C
859,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,859,1,B
860,0.7948337675650078,0.4433568520414918,0.6105874081721778,0.4853154900652453,2.037508827455111,2.432790072905506,0.0,0.2996735032234504,0.7003264967765497,0.0,215,4,A·B
861,0.8374375664696126,0.45050012776955545,0.6435444541865178,0.5389283016289727,2.6272402858056125,2.9351225478458103,0.0,0.6561681661200994,0.34383183387990046,0.0,287,3,A·B
862,0.8974521374317196,0.1025478625682804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,431,2,C
863,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,863,1,C
864,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,864,1
865,1.0,0.2379864388756651,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,865,1,A
866,0.8975223277849558,0.10247767221504418,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,433,2,E
867,0.837604440648628,0.16239555935137207,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,289,3,A
868,0.7951145312486199,0.49247858333001343,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,217,4,B
869,1.0,0.35433333708852444,0.6500879525045842,0.6500879525045842,6.346946737409809,4.399368236199752,0.0,0.0,0.6456666629114756,0.35433333708852444,869,1,B·C
