N,R1,R2,dist,dominant_mode,twin_count,sector_count,delta_ons,p_ons,d16,p16,d25,p25,d34,p34,purity,d_eff,purity_over_iso
500000000,11,41,30,d25,1840168,613237,3.9678480361238222e-05,0.97762095067848165,-0.028039171595294399,0,0.03443324972189804,0,-0.0090349062562671278,0.0016311044015620002,0.13889402009719382,7.199734007988468,2.222304321555101
500000000,17,47,30,d25,1840168,613630,-0.00042371006723040949,0.76461622448344735,-0.027810555551319116,0,0.037733392997391701,0,-0.0026702926173672314,0.35061488743166302,0.13755436601215137,7.2698528515747824,2.200869856194422
500000000,59,29,30,d25,1840168,613301,0.00031075684143083704,0.82622111359268624,-0.033241592378596807,0,0.040860864029962196,0,-0.0079944002841930151,0.0054313821597098411,0.13853360485062996,7.2184651592530376,2.2165376776100794
500000000,11,29,18,d34,1840168,613202,-0.00045080514561601781,0.74945730697921142,0.021722710088420971,5.8841820305133297e-14,-0.012155166247596216,1.1529865071580048e-06,-0.022389658832943304,3.4194869158454821e-14,0.12454830248255976,8.0290134836645244,1.9927728397209561
500000000,59,17,18,d16,1840168,613081,0.00026920623805271049,0.8486015235591875,0.026650062896608095,0,-0.0093110573666911889,0.00018725611634473616,-0.026642726256599081,0,0.12316014871489001,8.1195095202016461,1.9705623794382401
500000000,59,41,18,d34,1840168,613336,0.0010243197863065157,0.46778982193706531,0.022743136412668508,5.1070259132757201e-15,-0.0095603871485381853,0.00012242150004304619,-0.026971340306015001,0,0.12319410899368503,8.1172712572746502,1.9711057438989605
500000000,11,17,6,d16,1840168,612982,-0.00016137018522155433,0.90889188278351751,-0.029692770483060682,0,0.010449229316533026,2.5631302049688998e-05,-0.013283176051630152,4.3822805855242564e-06,0.11594975560432672,8.624425250299403,1.8551960896692274
500000000,41,47,6,d16,1840168,613885,-0.00070988017292211714,0.61473782864519211,-0.035625696651776895,0,0.0071738407070673915,0.0039909189437645765,-0.0083997949182588183,0.0035855687613588483,0.11526864502974872,8.6753860925659225,1.8442983204759795
