l,count,target,rmse,mean_err
0,1,0.0,0.0,0.0
1,3,2.0,8.637983586971412e-05,5.348345141809041e-05
2,5,6.0,0.03485255890393805,-0.03481886572845028
3,7,12.0,0.18514989241486635,-0.17560314218606723
4,9,20.0,0.5487868934119577,-0.5340851386722186
5,11,30.0,1.302511400474065,-1.2827197125692635
6,16,42.0,3.7358326445045864,-0.8749534757862314
7,21,56.0,4.981044931277504,0.5507374371759323
8,7,72.0,5.6576181411172985,-5.531101062289058
