anchor_index,anchor_prime,n_level,objective,iters,T0,Tend,seeds,best_energy,same_class_edges,smooth_energy,runtime_ms,labeling_vertex_order
0,2,34,radial_smooth,8000,1.0,1e-05,"1,2",23.40125111714857,2,26.10678083308364,391,29;23;7;5;19;2;37;13;11;3;31;17
5,13,34,radial_smooth,8000,1.0,1e-05,"1,2",11.969901605371705,5,13.028797607893576,380,47;41;17;31;59;37;29;19;53;43;13;23
10,31,34,radial_smooth,8000,1.0,1e-05,"1,2",7.484888320413297,6,7.862008871565939,295,67;37;71;43;41;47;61;79;53;31;73;59
15,53,34,radial_smooth,8000,1.0,1e-05,"1,2",5.3760024315793515,4,6.05745612281043,310,83;67;101;61;89;97;71;59;103;73;79;53
20,73,34,radial_smooth,8000,1.0,1e-05,"1,2",4.617316276485234,5,5.149041380540642,305,101;73;131;107;79;89;103;113;97;83;127;109
25,101,34,radial_smooth,8000,1.0,1e-05,"1,2",3.76981869125233,5,4.151125854534551,302,101;149;109;139;157;137;103;127;113;151;107;131
30,127,34,radial_smooth,8000,1.0,1e-05,"1,2",3.0108206288503423,2,3.3022028065253766,227,163;139;181;137;157;179;149;127;173;151;167;131
35,151,34,radial_smooth,8000,1.0,1e-05,"1,2",2.6272799729664973,5,2.8283115048275436,270,173;163;197;181;157;179;191;199;167;151;211;193
