sphere,R_m,Nphi,B_T,omega_c_rad_s,landau_spacing_eV,model_spacing_median_over_landau
AlfaFit,2.817940320458875e-15,3.0,124335012971623.27,2.1868290855642897e+25,14393970519.264328,9.647750467144933e+41
AlfaFit_Random,2.817940320458875e-15,3.0,124335012971623.27,2.1868290855642897e+25,14393970519.264328,3.011007185954681e+42
PlanckFit,1.616255e-35,3.0,3.779525358604707e+54,6.647504822885988e+65,4.375467158312377e+50,5.113188359511075e+102
PlanckFit_Random,1.616255e-35,3.0,3.779525358604707e+54,6.647504822885988e+65,4.375467158312377e+50,6.879535856800634e+102
