n,r1,r2,r3,r4
250393,11,1,5,7
251845,5,11,7,1
251965,5,7,11,1
252109,11,1,5,7
252637,7,11,5,1
253561,7,11,1,5
254485,5,7,11,1
256165,5,7,1,11
256945,5,1,11,7
257257,7,11,1,5
257785,5,11,7,1
258115,5,11,1,7
258265,5,7,11,1
258335,5,7,11,1
258349,7,1,5,11
258445,5,11,1,7
259105,5,7,11,1
259369,11,5,7,1
259777,7,5,1,11
260245,5,11,7,1
261415,5,7,11,1
261625,5,7,1,11
262405,5,11,1,7
263965,5,1,7,11
264355,5,7,1,11
264901,7,1,5,11
265045,5,11,1,7
265489,7,5,11,1
267085,5,7,1,11
267685,5,11,7,1
268801,1,11,5,7
269005,5,11,7,1
269269,7,11,1,5
269545,5,7,1,11
270865,5,7,11,1
270985,5,11,1,7
271285,5,7,11,1
272365,5,7,11,1
272545,5,7,1,11
272965,5,7,11,1
273385,5,7,1,11
274417,11,1,7,5
274873,5,7,11,1
275275,5,7,11,1
276913,7,1,5,11
277849,11,1,5,7
278005,5,7,1,11
279685,5,7,1,11
280345,5,1,7,11
280945,5,7,11,1
281281,7,11,1,5
281785,5,7,11,1
282205,5,7,11,1
282373,7,1,5,11
282425,5,11,1,7
282865,5,11,1,7
284557,7,1,5,11
284809,7,11,5,1
285085,5,11,1,7
286741,7,1,11,5
287287,7,11,1,5
287749,7,11,1,5
288145,5,11,1,7
289289,7,11,1,5
289465,5,11,7,1
290225,5,1,7,11
291445,5,7,11,1
291745,5,7,1,11
293293,7,11,1,5
293755,5,7,11,1
293825,5,7,11,1
293965,5,7,1,11
294385,5,7,1,11
295165,5,1,7,11
295477,7,1,5,11
296065,5,7,11,1
297505,5,1,11,7
297517,11,5,1,7
297745,5,7,11,1
297913,7,11,5,1
298025,5,7,1,11
298129,1,5,7,11
298333,7,5,11,1
299065,5,1,7,11
299761,7,11,5,1
299845,5,7,1,11
300265,5,7,11,1
301093,1,7,11,5
301645,5,11,7,1
302225,5,7,11,1
302965,5,1,11,7
304325,5,7,1,11
306229,7,11,5,1
307021,11,1,7,5
307285,5,11,1,7
308605,5,11,7,1
308737,11,1,5,7
309155,5,7,11,1
309205,5,1,7,11
309505,5,7,1,11
309673,7,1,5,11
309985,5,1,7,11
310765,5,7,1,11
311857,7,1,11,5
312613,7,5,1,11
313885,5,11,1,7
314665,5,1,11,7
315425,5,11,7,1
315445,5,1,11,7
315469,7,11,5,1
315721,7,11,1,5
316645,5,7,11,1
317053,11,7,1,5
317185,5,11,1,7
317317,7,11,1,5
317485,5,7,11,1
318725,5,11,7,1
319165,5,7,11,1
319319,7,11,1,5
319585,5,7,11,1
321425,5,1,11,7
321937,7,11,1,5
321997,1,5,7,11
324205,5,7,11,1
324805,5,1,7,11
325045,5,7,1,11
325325,5,7,11,1
325897,11,1,7,5
325945,5,7,11,1
327085,5,11,7,1
327145,5,7,1,11
327613,11,1,5,7
328405,5,7,11,1
329065,5,11,7,1
329245,5,7,11,1
331045,5,11,1,7
331705,5,11,1,7
333385,5,1,11,7
334705,5,7,1,11
336145,5,11,1,7
336505,5,1,7,11
336661,1,7,5,11
337645,5,7,11,1
337909,11,1,5,7
338065,5,7,1,11
338195,5,11,1,7
338365,5,7,1,11
338905,5,7,11,1
339031,7,11,5,1
339625,5,11,1,7
340561,1,5,11,7
340585,5,7,1,11
340795,5,7,1,11
340837,7,11,5,1
341173,7,5,11,1
341905,5,7,11,1
342433,7,1,5,11
343045,5,7,11,1
343735,5,7,11,1
344113,7,11,5,1
344641,11,5,7,1
