n,r1,r2,r3,r4
758485,5,7,1,11
759145,5,7,1,11
759577,7,1,5,11
760045,5,11,1,7
760165,5,7,1,11
760837,7,11,5,1
761215,5,7,1,11
761365,5,11,1,7
761761,7,11,1,5
761917,1,5,7,11
762565,5,7,11,1
762853,7,1,11,5
763165,5,1,11,7
763477,11,1,7,5
764225,5,7,11,1
764269,11,5,1,7
764845,5,7,11,1
765049,11,5,7,1
765289,7,5,11,1
765985,5,11,7,1
766381,7,11,1,5
766441,1,7,5,11
766465,5,7,1,11
766535,5,7,11,1
766909,11,1,7,5
767305,5,7,11,1
767533,1,5,11,7
768625,5,11,1,7
768859,7,1,5,11
769925,5,1,11,7
770077,7,11,1,5
770245,5,7,11,1
770665,5,7,1,11
771265,5,11,1,7
771745,5,1,7,11
772369,1,7,5,11
773053,7,11,5,1
773773,7,11,1,5
773785,5,7,11,1
774865,5,7,1,11
775705,5,7,1,11
776365,5,11,7,1
776503,7,1,11,5
776545,5,7,11,1
776581,1,7,5,11
776713,7,5,1,11
776825,5,7,11,1
777205,5,11,1,7
777805,5,7,11,1
778141,7,1,5,11
778297,1,7,11,5
779185,5,11,7,1
779317,7,11,5,1
779545,5,1,7,11
779977,11,5,7,1
780637,11,1,5,7
781033,11,7,1,5
781165,5,7,11,1
781885,5,1,11,7
783475,5,7,11,1
784765,5,7,1,11
785213,11,1,5,7
786445,5,11,7,1
786709,7,11,5,1
787325,5,7,11,1
787633,7,11,5,1
788137,7,5,1,11
788749,1,5,7,11
789061,7,1,11,5
789425,5,7,1,11
790405,5,7,11,1
790801,11,5,1,7
791065,5,11,7,1
791791,7,11,1,5
794065,5,7,11,1
794605,5,7,1,11
796081,11,1,7,5
797005,5,11,7,1
797225,5,11,1,7
797525,5,7,11,1
797797,7,11,1,5
797825,5,7,11,1
797905,5,7,1,11
798985,5,11,1,7
799045,5,1,7,11
799435,5,7,1,11
799981,7,1,11,5
800569,7,11,1,5
802009,1,5,7,11
802417,7,11,5,1
802585,5,7,11,1
802945,5,11,1,7
803365,5,7,11,1
803605,5,11,7,1
803677,7,5,1,11
803825,5,11,1,7
804265,5,7,11,1
804661,11,1,5,7
804685,5,7,11,1
805441,7,1,5,11
805585,5,11,1,7
807625,5,7,1,11
808165,5,7,11,1
808621,11,7,5,1
808925,5,1,7,11
809185,5,1,11,7
809761,5,7,11,1
809809,7,11,1,5
809893,7,1,5,11
810095,5,11,1,7
810425,5,7,11,1
811405,5,7,1,11
812245,5,7,11,1
812581,7,11,1,5
813085,5,7,1,11
813505,5,7,11,1
813637,11,5,7,1
813865,5,1,7,11
814177,7,1,11,5
814645,5,1,11,7
814957,11,1,5,7
815005,5,7,11,1
816109,7,11,1,5
816385,5,11,7,1
816725,5,7,1,11
817355,5,7,11,1
817663,7,11,1,5
817705,5,7,1,11
817765,5,1,11,7
818363,7,1,5,11
819553,7,5,11,1
819805,5,7,11,1
820325,5,11,7,1
820573,1,5,11,7
820729,7,1,5,11
821353,1,11,5,7
821821,7,11,1,5
821905,5,7,11,1
821975,5,7,11,1
822745,5,7,11,1
822829,7,5,11,1
823361,7,11,5,1
824005,5,7,1,11
824525,5,1,7,11
824941,1,11,7,5
825253,11,1,5,7
825385,5,11,7,1
826025,5,7,1,11
826925,5,11,7,1
827701,7,11,5,1
827905,5,1,11,7
828529,1,5,11,7
828971,11,1,5,7
829465,5,7,1,11
829777,1,5,7,11
829885,5,7,11,1
831193,11,7,5,1
831565,5,7,11,1
831805,5,1,7,11
831985,5,7,11,1
832909,7,11,5,1
833305,5,11,1,7
833525,5,7,11,1
833833,7,11,1,5
834757,7,11,1,5
835705,5,1,11,7
836225,5,1,7,11
836737,11,5,7,1
837265,5,11,1,7
837445,5,7,11,1
837529,7,11,1,5
837655,5,7,1,11
837865,5,7,1,11
838585,5,11,7,1
839135,5,11,7,1
839293,7,1,11,5
839845,5,11,7,1
840085,5,7,1,11
840385,5,7,1,11
840541,1,7,5,11
840595,5,7,11,1
840973,7,5,1,11
841841,7,11,1,5
842413,11,1,7,5
842569,7,1,11,5
843505,5,1,7,11
843535,5,7,11,1
843865,5,11,7,1
843997,7,11,1,5
844285,5,1,7,11
844585,5,7,11,1
845089,7,11,5,1
845845,5,7,11,1
846469,1,7,11,5
846745,5,11,1,7
846937,7,1,5,11
847165,5,11,1,7
847693,7,11,5,1
848225,5,7,1,11
848521,5,7,1,11
851185,5,1,7,11
851305,5,7,1,11
852145,5,7,1,11
852709,11,1,7,5
852841,11,7,5,1
853405,5,7,1,11
853489,7,1,11,5
853645,5,1,11,7
855085,5,7,11,1
855205,5,1,11,7
856273,11,5,7,1
856681,7,5,11,1
856957,7,11,1,5
857545,5,1,7,11
857605,5,7,11,1
857857,7,11,1,5
859165,5,11,7,1
859465,5,7,11,1
860545,5,7,11,1
861289,11,1,7,5
861745,5,7,11,1
862285,5,1,11,7
863225,5,11,7,1
863317,7,1,5,11
864565,5,1,11,7
864685,5,11,1,7
865249,7,11,5,1
866005,5,7,1,11
866305,5,11,7,1
866593,7,1,5,11
866723,11,1,7,5
867265,5,7,11,1
867445,5,7,11,1
867685,5,7,1,11
868231,7,1,5,11
868465,5,1,7,11
869245,5,1,7,11
869365,5,7,11,1
869605,5,11,1,7
870961,7,1,5,11
871325,5,7,1,11
873301,11,1,7,5
873565,5,7,11,1
873613,1,5,11,7
873829,11,7,1,5
874069,7,11,1,5
874321,7,5,11,1
874489,7,11,5,1
875017,11,1,5,7
875875,5,7,11,1
876469,11,5,7,1
877045,5,1,7,11
877591,11,1,5,7
878101,7,5,11,1
878185,5,7,11,1
878339,7,11,5,1
878605,5,7,1,11
878713,11,5,1,7
879193,7,5,1,11
879385,5,1,11,7
879725,5,7,11,1
879865,5,7,11,1
879985,5,7,11,1
880045,5,1,7,11
880165,5,11,1,7
880957,7,11,5,1
881245,5,11,7,1
881377,7,1,5,11
881755,5,7,11,1
881881,7,11,1,5
882145,5,11,7,1
882265,5,7,1,11
882805,5,7,11,1
883025,5,11,1,7
883285,5,1,11,7
884485,5,7,1,11
884695,5,7,11,1
884833,5,11,7,1
884905,5,7,11,1
885157,7,1,11,5
885313,11,1,5,7
886025,5,7,1,11
886501,7,11,5,1
886585,5,7,1,11
887065,5,7,11,1
887593,7,11,1,5
887965,5,1,7,11
888085,5,11,7,1
888811,7,11,5,1
889405,5,11,7,1
889945,5,7,11,1
890905,5,11,1,7
891385,5,11,7,1
891709,7,1,5,11
892177,11,1,5,7
892645,5,1,7,11
892885,5,7,1,11
893113,1,11,5,7
893365,5,11,1,7
893665,5,7,11,1
894145,5,7,11,1
894565,5,7,1,11
895045,5,11,7,1
895345,5,11,1,7
895585,5,1,11,7
896525,5,7,11,1
897481,1,5,7,11
897805,5,11,1,7
898807,7,1,5,11
899185,5,7,11,1
900445,5,7,1,11
901117,7,11,5,1
901153,11,5,1,7
901285,5,7,11,1
902545,5,7,11,1
903133,7,11,1,5
905245,5,11,1,7
907025,5,7,11,1
907465,5,1,11,7
908089,7,1,5,11
908215,5,7,11,1
908485,5,7,1,11
908831,7,11,5,1
908845,5,7,11,1
909205,5,11,1,7
909265,5,7,11,1
910129,11,5,7,1
911365,5,7,1,11
911785,5,7,1,11
913297,7,11,5,1
914485,5,11,1,7
914617,11,5,7,1
914825,5,11,1,7
915145,5,7,11,1
915733,7,1,5,11
916201,11,1,7,5
916453,5,7,1,11
916465,5,11,7,1
917245,5,7,1,11
917605,5,1,7,11
917665,5,7,1,11
918385,5,1,11,7
919165,5,1,7,11
919765,5,7,11,1
919885,5,7,11,1
920185,5,7,1,11
920941,7,5,11,1
921193,7,1,5,11
921349,11,1,5,7
921725,5,7,11,1
922285,5,7,1,11
922369,7,5,11,1
922405,5,11,7,1
923065,5,11,1,7
924445,5,7,1,11
924781,11,1,5,7
925129,7,11,5,1
925309,7,11,1,5
925405,5,1,11,7
925477,7,5,11,1
926005,5,7,11,1
926041,5,7,11,1
926653,7,1,5,11
926905,5,7,11,1
927553,11,1,7,5
927745,5,7,1,11
928081,7,11,5,1
928165,5,7,11,1
928837,7,1,11,5
929225,5,11,7,1
929461,1,7,5,11
929509,7,5,1,11
929929,7,11,1,5
930097,7,11,5,1
931105,5,7,1,11
931165,5,7,1,11
931645,5,11,1,7
932437,11,5,1,7
933625,5,7,11,1
934021,11,7,5,1
934549,7,11,5,1
936169,1,11,7,5
936481,7,1,5,11
937885,5,1,11,7
938245,5,7,11,1
938353,1,7,5,11
938665,5,7,1,11
938905,5,11,7,1
939145,5,7,1,11
939575,5,7,1,11
939757,7,1,11,5
940093,7,11,5,1
940555,5,7,11,1
941005,5,1,7,11
941941,7,11,1,5
942205,5,11,1,7
943345,5,1,11,7
943705,5,7,11,1
944125,5,7,1,11
945217,7,1,5,11
945725,5,11,7,1
945805,5,7,1,11
946105,5,7,11,1
947245,5,1,7,11
947401,7,1,5,11
948409,7,11,1,5
948805,5,11,1,7
948865,5,11,1,7
949165,5,7,11,1
949325,5,1,11,7
949465,5,11,1,7
949585,5,7,1,11
950929,7,5,1,11
951577,11,7,5,1
952105,5,7,11,1
952315,5,7,1,11
953173,1,5,7,11
953225,5,7,1,11
953491,7,11,5,1
953953,7,11,1,5
954385,5,11,7,1
955045,5,7,1,11
955213,7,5,11,1
955669,11,1,5,7
956449,1,5,7,11
957385,5,11,1,7
957565,5,7,1,11
957745,5,7,1,11
958069,7,5,11,1
958189,7,5,1,11
959101,11,1,7,5
959233,11,5,7,1
959497,7,11,5,1
959959,7,11,1,5
960445,5,11,1,7
960505,5,7,1,11
961285,5,1,11,7
961741,11,5,1,7
962185,5,7,1,11
962533,11,1,5,7
962555,5,11,1,7
962689,7,1,11,5
964873,7,1,11,5
965185,5,1,7,11
966625,5,11,7,1
966745,5,1,11,7
966805,5,7,11,1
966889,7,11,5,1
967285,5,11,7,1
967681,11,1,7,5
967765,5,7,1,11
968461,1,11,5,7
968825,5,11,1,7
969289,5,11,1,7
969815,5,7,11,1
969865,5,1,7,11
969955,5,7,1,11
970021,1,5,7,11
970025,5,7,11,1
970585,5,7,11,1
972433,7,11,1,5
973765,5,1,11,7
974617,7,1,5,11
974857,1,7,5,11
975085,5,11,1,7
976465,5,7,11,1
977185,5,11,1,7
977977,7,11,1,5
978565,5,7,1,11
978985,5,7,11,1
979165,5,11,7,1
979693,11,1,5,7
979979,7,11,1,5
980185,5,7,11,1
980525,5,7,1,11
980785,5,1,7,11
981253,7,1,5,11
982813,1,7,11,5
983437,7,1,5,11
983521,7,11,5,1
983605,5,7,1,11
983675,5,7,11,1
983785,5,11,7,1
983941,7,5,1,11
984181,11,5,7,1
984445,5,7,11,1
984697,7,5,11,1
986005,5,7,1,11
986545,5,7,11,1
987505,5,11,7,1
987805,5,7,1,11
988141,7,11,5,1
988585,5,1,7,11
988645,5,7,11,1
989365,5,1,7,11
990265,5,11,7,1
990535,5,7,1,11
990913,7,11,5,1
991045,5,11,1,7
991921,7,11,1,5
991933,5,7,1,11
992225,5,1,7,11
995005,5,11,7,1
995665,5,11,7,1
995785,5,7,11,1
996541,7,1,11,5
996805,5,7,11,1
997045,5,7,1,11
998305,5,7,11,1
998545,5,7,11,1
998767,7,11,5,1
998855,5,11,1,7
999481,7,5,1,11
