level,n_vertices,n_faces,lambda1,lambda1_minus_2,lambda2,lambda3
0,12,20,1.9999999999999996,-4.440892098500626e-16,2.0,2.0000000000000027
1,42,80,1.999208524562987,-0.0007914754370130783,1.9992085245629898,1.9992085245629967
2,162,320,1.9999079489327172,-9.205106728282786e-05,1.9999079489327236,1.9999079489327314
3,642,1280,1.9999918870295978,-8.112970402152087e-06,1.9999918870297382,1.9999918870306548
