parent_face,walter_area,total_area,walter_fraction
0,0.21887350099920866,0.6156565608578105,0.3555123341725563
1,0.21887350099920846,0.6156565608578102,0.3555123341725562
2,0.21887350099920844,0.6156565608578103,0.35551233417255607
3,0.2188735009992086,0.6156565608578104,0.35551233417255623
4,0.21887350099920852,0.6156565608578103,0.3555123341725562
5,0.2188735009992086,0.6156565608578104,0.35551233417255623
6,0.21887350099920852,0.6156565608578103,0.3555123341725562
7,0.21887350099920846,0.6156565608578103,0.35551233417255607
8,0.2188735009992085,0.6156565608578103,0.3555123341725561
9,0.21887350099920866,0.6156565608578104,0.35551233417255634
10,0.21887350099920866,0.6156565608578105,0.3555123341725563
11,0.21887350099920846,0.6156565608578102,0.3555123341725562
12,0.21887350099920844,0.6156565608578103,0.35551233417255607
13,0.2188735009992086,0.6156565608578104,0.35551233417255623
14,0.21887350099920852,0.6156565608578103,0.3555123341725562
15,0.21887350099920852,0.6156565608578103,0.3555123341725562
16,0.2188735009992086,0.6156565608578104,0.35551233417255623
17,0.21887350099920866,0.6156565608578104,0.35551233417255634
18,0.2188735009992085,0.6156565608578103,0.3555123341725561
19,0.21887350099920846,0.6156565608578103,0.35551233417255607
