bits,n,sigma,ring,use_sigma,dir_kind,dir_count,lambdas,base_samples,T,S,score,use_score,B,neighbor_safety,shadow,success_prefilter,factor_prefilter,rank_hit,tested,t_prefilter,success_pipeline,factor_pipeline,t_total,fallback_used
64,5418865005739502099,C,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,False,200,True,False,False,,,200,0.06019306182861328,True,2264329411,0.0752871036529541,True
64,5418865005739502099,C,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,l1,True,200,True,False,False,,,200,0.05249190330505371,True,2393143409,0.07791590690612793,True
64,5418865005739502099,C,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,200,True,False,False,,,200,0.024792909622192383,True,2264329411,0.06413793563842773,True
64,5418865005739502099,C,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,1000,True,False,False,,,1000,0.24936509132385254,True,2393143409,0.28104281425476074,True
64,5418865005739502099,C,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,False,1000,True,False,False,,,1000,0.25442004203796387,True,2393143409,0.2627420425415039,True
64,5418865005739502099,C,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,l1,True,1000,True,False,False,,,1000,0.23518586158752441,True,2393143409,0.3349790573120117,True
64,5418865005739502099,C,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,1000,True,False,False,,,1000,0.06600499153137207,True,2393143409,0.1435713768005371,True
64,5418865005739502099,C,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,50,True,False,False,,,50,0.02760791778564453,True,2393143409,0.21162176132202148,True
64,5418865005739502099,C,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,False,50,True,False,False,,,50,0.01932501792907715,True,2393143409,0.05705690383911133,True
64,5418865005739502099,C,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,phase,True,50,True,False,False,,,50,0.028961181640625,True,2393143409,0.05703878402709961,True
64,5418865005739502099,C,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,50,True,False,False,,,50,0.018644094467163086,True,2393143409,0.1324000358581543,True
64,5418865005739502099,C,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,200,True,False,False,,,200,0.07296395301818848,True,2393143409,0.07948803901672363,True
64,5418865005739502099,C,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,False,200,True,False,False,,,200,0.05221295356750488,True,2264329411,0.08320403099060059,True
64,5418865005739502099,C,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,phase,True,200,True,False,False,,,200,0.0709230899810791,True,2393143409,0.10941004753112793,True
64,5418865005739502099,C,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,200,True,False,False,,,200,0.02490687370300293,True,2393143409,0.042929887771606445,True
64,5418865005739502099,C,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,1000,True,False,False,,,1000,0.2670409679412842,True,2264329411,0.29173827171325684,True
64,5418865005739502099,C,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,False,1000,True,False,False,,,1000,0.27727389335632324,True,2393143409,0.31489109992980957,True
64,5418865005739502099,C,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,phase,True,1000,True,False,False,,,1000,0.27309489250183105,True,2264329411,0.3004951477050781,True
64,5418865005739502099,C,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,1000,True,False,False,,,1000,0.06566500663757324,True,2393143409,0.08528780937194824,True
64,16415902053140239417,E,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,50,True,False,False,,,50,0.0106048583984375,True,3862223633,0.08714604377746582,True
64,16415902053140239417,E,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,False,50,True,False,False,,,50,0.010256052017211914,True,4250375849,0.15593290328979492,True
64,16415902053140239417,E,gaussian,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,l1,True,50,True,False,False,,,50,0.0115509033203125,True,3862223633,0.08320212364196777,True
64,16415902053140239417,E,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,50,True,False,False,,,50,0.012569904327392578,True,4250375849,0.02636885643005371,True
64,16415902053140239417,E,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,200,True,False,False,,,200,0.020871877670288086,True,4250375849,0.038095951080322266,True
64,16415902053140239417,E,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,False,200,True,False,False,,,200,0.017064332962036133,True,3862223633,0.027821779251098633,True
64,16415902053140239417,E,gaussian,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,l1,True,200,True,False,False,,,200,0.018333911895751953,True,3862223633,0.04467511177062988,True
64,16415902053140239417,E,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,200,True,False,False,,,200,0.032270193099975586,True,3862223633,0.09926128387451172,True
64,16415902053140239417,E,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,1000,True,False,False,,,1000,0.050965070724487305,True,4250375849,0.09320592880249023,True
64,16415902053140239417,E,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,False,1000,True,False,False,,,1000,0.06239199638366699,True,3862223633,0.17603468894958496,True
64,16415902053140239417,E,gaussian,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,l1,True,1000,True,False,False,,,1000,0.06126284599304199,True,3862223633,0.23850703239440918,True
64,16415902053140239417,E,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,1000,True,False,False,,,1000,0.060219764709472656,True,3862223633,0.07690286636352539,True
64,16415902053140239417,E,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,50,True,False,False,,,50,0.020233154296875,True,4250375849,0.04864811897277832,True
64,16415902053140239417,E,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,False,50,True,False,False,,,50,0.013389825820922852,True,4250375849,0.08261299133300781,True
64,16415902053140239417,E,gaussian,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,phase,True,50,True,False,False,,,50,0.017599105834960938,True,4250375849,0.10337591171264648,True
64,16415902053140239417,E,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,50,True,False,False,,,50,0.020739078521728516,True,4250375849,0.1318199634552002,True
64,16415902053140239417,E,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,200,True,False,False,,,200,0.028966903686523438,True,4250375849,0.0433659553527832,True
64,16415902053140239417,E,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,False,200,True,False,False,,,200,0.03190207481384277,True,3862223633,0.05825614929199219,True
64,16415902053140239417,E,gaussian,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,phase,True,200,True,False,False,,,200,0.027554750442504883,True,3862223633,0.03742575645446777,True
64,16415902053140239417,E,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,200,True,False,False,,,200,0.02553534507751465,True,3862223633,0.23969197273254395,True
64,16415902053140239417,E,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,1000,True,False,False,,,1000,0.0625009536743164,True,3862223633,0.07743191719055176,True
64,16415902053140239417,E,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,False,1000,True,False,False,,,1000,0.06347274780273438,True,3862223633,0.1050269603729248,True
64,16415902053140239417,E,gaussian,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,phase,True,1000,True,False,False,,,1000,0.05498480796813965,True,3862223633,0.10508489608764648,True
64,16415902053140239417,E,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,1000,True,False,False,,,1000,0.10763025283813477,True,4250375849,0.14525079727172852,True
64,16214769954431104253,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,50,True,False,False,,,50,0.021245956420898438,True,3895696853,0.033722877502441406,True
64,16214769954431104253,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,False,50,True,False,False,,,50,0.02218008041381836,True,3895696853,0.12444305419921875,True
64,16214769954431104253,A,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,l1,True,50,True,False,False,,,50,0.02497696876525879,True,4162225801,0.03925514221191406,True
64,16214769954431104253,A,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,50,True,False,False,,,50,0.027637004852294922,True,4162225801,0.06555390357971191,True
