mode,step,q1_total,q2_total,g_total,sigma_total,E_total,bulk_total,s3_total,flux_total,H,alpha,beta,gamma,gamma_core,bridge,mixed,boundary,defect
E3,0,9.5,12.2,2.8,16.658553266688376,22.465999999999998,17.65,0.0,0.0,0.0,1,3,0,0,1,3,0,0
E3,1,9.5,11.2,5.439223482558255,11.905152547559496,19.74637845278667,16.14483326316039,1.5051667368396118,1.5051667368396118,0.08527856865946808,1,2,0,1,1,3,0,0
E3,2,7.635348095359871,11.2,9.076898071187351,8.732327822789037,19.274039072067524,14.819532860739551,2.830467139260449,1.325300402420837,0.16036641015639938,3,3,0,0,0,2,0,0
E3,3,6.635348095359871,11.2,8.29220273660987,8.119315281110355,17.74041753920468,13.456255135150089,4.1937448648499105,1.3632777255894621,0.23760594135126972,2,2,0,1,1,2,0,0
E3,4,7.741244493184601,10.2,9.80750906779805,6.168466837541077,17.161687214792796,12.336811657485855,5.313188342514145,1.1194434776642341,0.3010305009923029,2,2,1,0,1,1,1,0
E3,5,7.758112261172844,10.2,9.219058523730165,6.107911823271189,16.367448779381196,11.29279449883177,6.357205501168232,1.0440171586540867,0.3601816147970669,3,2,1,0,0,1,1,0
E3,6,7.758112261172844,10.2,8.665915012306355,5.002867443126996,14.729559009545497,10.37621505944413,7.2737849405558705,0.9165794393876391,0.4121124612212958,4,2,0,0,0,1,1,0
E3,7,7.758112261172845,10.2,8.145960111567973,4.982680398357674,13.900057698908233,9.687350541975613,7.962649458024388,0.6888645174685174,0.4511416123526565,3,2,0,0,0,2,1,0
E3,8,7.758112261172844,10.2,7.6572025048738945,4.478024361325034,13.006645121254568,8.922203891460073,8.727796108539927,0.7651466505155393,0.4944926973677013,4,2,0,0,0,0,2,0
E3,9,7.794225306006001,10.2,7.1977703545814595,4.725357060881049,12.883733497399732,8.24503771465454,9.40496228534546,0.6771661768055326,0.5328590529940771,3,2,0,0,0,0,3,0
E3,10,7.794225306006002,10.2,6.765904133306572,4.842062592160057,12.629977420369713,7.6425993693646435,10.007400630635358,0.602438345289897,0.5669915371464791,2,2,0,0,0,0,4,0
E3,11,7.794225306006002,10.2,6.359949885308177,4.883425262950556,12.322187351781894,7.102842323491346,10.547157676508656,0.539757045873298,0.5975726728900087,1,2,0,0,0,0,5,0
E3,12,6.794225306006002,10.2,5.319532803917297,5.519161978566527,12.082779085012923,6.6178812560854725,11.032118743914527,0.48496106740587275,0.6250492206183869,1,2,0,0,0,0,5,0
E3,13,7.799494352800841,10.2,5.863857683693699,4.668806231219293,11.708814880637226,6.174108175873816,11.475891824126183,0.4437730802116563,0.650192171338594,0,2,0,0,0,0,6,0
E3,14,7.800713480665697,10.2,5.512026222672077,5.004930774222238,11.789546936784985,5.773310468776007,11.876689531223992,0.4007977070978089,0.6729002567265718,0,2,0,0,0,0,6,0
E3,15,7.8007134806656975,10.2,5.181304649311753,5.100049263752284,11.585467269185084,5.407702237345379,12.242297762654621,0.3656082314306279,0.6936146041164092,0,2,0,0,0,0,6,0
