name,k,span,count,density,eabc_examples,around_zirc,around_entropy,around_lambda2,pre_zirc,post_zirc
twin_02,2,2,58980,0.005898,"?,AB,CE",0.32440375450937947,0.3262379195169249,0.6129679595258232,0.1379163992996966,0.13242459693779074
cousin_04,2,4,58622,0.0058622,"?,BC,EA",0.3432307382201132,0.32127640350906295,0.6282635064135181,0.11889498883866946,0.12936135422548464
sexy_06,2,6,117207,0.0117207,"AC,BE,CA,EB",0.1538503119103119,0.3436795668348372,0.6552357217836047,0.13055028723784393,0.1218630603886644
triplet_026,3,6,8543,0.0008543,"ABC,CEA",0.47023324572341313,0.3566033452637653,0.6961071248621865,0.14458014972601682,0.11955918530808399
triplet_046,3,6,8677,0.0008677,"BCE,EAB",0.4755324604981236,0.36081957359608047,0.6983413336145221,0.12850403441717906,0.1351569199108215
quad_0268,4,8,899,8.99e-05,"ABCE,CEAB",0.5310434714216694,0.3879972591376362,0.7464748756871359,0.17494714587737845,0.13265956478193572
quint_0461012,5,12,161,1.61e-05,"BCEAB,EABCE",0.5884205856255547,0.450834014344183,0.7707868154608066,0.22736842105263158,-0.013052208835341366
sext_046101216,6,16,18,1.8e-06,"BCEABC,EABCEA",0.6788541705208373,0.3875751478942534,0.7560641670126285,0.36,0.4259259259259259
sept_0268121820,7,20,3,3e-07,"ABCEACE,CEABCAB",0.7444444444444445,0.4200497643636369,0.8340798933218528,1.0,0.6666666666666666
