name,true_count,false_count_sampled,auc_zirc,true_zirc_mean,false_zirc_mean
twin_02,58980,60493,0.6559467845618635,0.32440375450937947,0.10036689988666392
cousin_04,58622,60308,0.6816301155240109,0.3432307382201132,0.08573216343149898
sexy_06,117207,54230,0.5360168495218923,0.1538503119103119,0.1003601984326695
triplet_026,8543,10408,0.7243368381123553,0.47023324572341313,0.21144967424752203
triplet_046,8677,10178,0.7311815909381864,0.4755324604981236,0.20770061661445036
quad_0268,899,1539,0.6807249553868604,0.5310434714216694,0.3590290674598666
quint_0461012,161,275,0.6804178430265386,0.5884205856255547,0.42046936901482357
sext_046101216,18,38,0.7792397660818714,0.6788541705208373,0.4608652312599681
