M,twin_count,quadruple_count_all,quadruple_count_small_delta,exact_symmetric_count,near_symmetric_count_6,near_symmetric_count_12,weighted_cupola_all,weighted_cupola_small_delta,delta_histogram_small,eta_histogram_small
10003,11,28,2,0,0,2,0.114268936422,0.022079772080,"{78: 1, 108: 1}","{38: 1, 68: 1}"
10033,11,28,4,0,2,3,0.158652214096,0.071164021164,"{30: 1, 60: 1, 84: 1, 108: 1}","{10: 1, 20: 1, 34: 1, 98: 1}"
10063,11,30,5,0,2,2,0.179918879270,0.090227201992,"{30: 1, 54: 1, 60: 1, 84: 1, 102: 1}","{4: 1, 20: 1, 26: 1, 50: 1, 52: 1}"
10093,10,24,3,0,1,2,0.124472905611,0.044526143791,"{48: 1, 72: 1, 102: 1}","{8: 1, 22: 1, 46: 1}"
10123,10,24,3,0,0,0,0.124472905611,0.044526143791,"{48: 1, 72: 1, 102: 1}","{14: 1, 38: 1, 68: 1}"
10153,11,28,0,0,2,2,0.100953594122,0.000000000000,{},{}
10183,11,30,0,0,3,4,0.107359903412,0.000000000000,{},{}
10213,12,36,0,0,2,3,0.120854884852,0.000000000000,{},{}
10243,12,35,0,0,0,2,0.118058755413,0.000000000000,{},{}
10273,12,36,2,0,1,3,0.162012632837,0.050000000000,"{30: 1, 60: 1}","{28: 1, 58: 1}"
10303,12,35,2,0,1,3,0.163398379273,0.050000000000,"{30: 1, 60: 1}","{2: 1, 28: 1}"
10333,11,28,1,0,1,1,0.114552377053,0.010416666667,{96: 1},{94: 1}
10363,10,24,1,0,2,2,0.105410299618,0.010416666667,{96: 1},{34: 1}
10393,8,16,1,0,1,1,0.085146585969,0.010416666667,{96: 1},{26: 1}
10423,9,20,1,0,1,1,0.094280559994,0.010416666667,{96: 1},{86: 1}
10453,8,16,3,0,0,0,0.116376229445,0.057026143791,"{30: 1, 72: 1, 102: 1}","{20: 1, 22: 1, 52: 1}"
10483,8,15,4,0,0,2,0.104986454346,0.061391223156,"{42: 1, 72: 2, 102: 1}","{8: 2, 22: 1, 38: 1}"
10513,8,12,3,0,1,1,0.089994428827,0.057026143791,"{30: 1, 72: 1, 102: 1}","{4: 1, 38: 1, 68: 1}"
10543,8,7,0,0,0,0,0.025211401637,0.000000000000,{},{}
10573,8,12,0,0,0,1,0.037224808515,0.000000000000,{},{}
10603,8,15,0,0,1,1,0.044595025444,0.000000000000,{},{}
10633,7,12,0,0,0,0,0.038263468710,0.000000000000,{},{}
10663,8,16,0,0,0,2,0.047041671772,0.000000000000,{},{}
10693,8,16,0,0,2,3,0.047041671772,0.000000000000,{},{}
10723,8,15,0,0,0,1,0.045818045330,0.000000000000,{},{}
10753,7,12,0,0,0,0,0.039377944037,0.000000000000,{},{}
10783,8,15,0,0,2,3,0.045435866602,0.000000000000,{},{}
10813,7,10,0,0,0,0,0.034264380577,0.000000000000,{},{}
10843,7,6,0,0,0,0,0.024710508523,0.000000000000,{},{}
10873,9,14,2,0,1,1,0.088811252740,0.046153846154,"{30: 1, 78: 1}","{4: 1, 52: 1}"
