name,n,mean_twin_count,mean_quad_all,mean_quad_small,mean_exact_sym,mean_near6,mean_near12,mean_kw_all,mean_kw_small,std_twin_count,std_quad_all,std_quad_small,std_exact_sym,std_near6,std_near12,std_kw_all,std_kw_small,se_twin_count,se_quad_all,se_quad_small,se_exact_sym,se_near6,se_near12,se_kw_all,se_kw_small
30 | M,33000,4.9055757575757575,5.917727272727273,0.4044848484848485,0.1943939393939394,0.3265757575757576,0.5742727272727273,0.024649801295271462,0.005469595032451539,2.095722729611984,5.548763524686609,0.8528194992231827,0.4390058631066981,0.5914925410171894,0.8417866559317053,0.02575768345859313,0.012776004721657309,0.011536573935272519,0.030544937909673924,0.004694616834189663,0.00241664773979249,0.0032560592750122156,0.0046338830307384934,0.00014179138080752836,7.032959130813997e-05
210 | M,4714,4.842596521001273,5.6792532880780655,0.484514212982605,0.2562579550275774,0.3570216376750106,0.6406448875689436,0.025369708888577015,0.007315158239501247,2.070521969416,5.389988814178117,0.9454095530874957,0.49828734903428235,0.6124386982030371,0.8996360504323655,0.027621833934378292,0.01601201311115864,0.030156785981550156,0.07850423299684439,0.013769722793820008,0.007257467036864716,0.008920061231582822,0.013103039830013532,0.00040230712191472806,0.0002332121366783575
2310 | M,428,5.095794392523365,6.327102803738318,0.4392523364485981,0.34813084112149534,0.45093457943925236,0.7686915887850467,0.026683591834181626,0.005664215911496083,2.1816312757077276,6.031886766294109,0.8419777573089162,0.5535115273578176,0.6556184676772021,0.9836282103947567,0.027410736586440814,0.011564614567305046,0.10545312799349503,0.2915622517384084,0.04069853104776817,0.026754989530209966,0.03169051477978781,0.047545464132164816,0.0013249479624865654,0.0005589967441981408
Kontrolle M ≡ 1 mod 30,33000,4.826,5.915575757575757,0.475,0,0.253,0.4483333333333333,0.026562962309034623,0.007223831708992137,2.0773445462022817,5.535562148948095,0.940428255121199,0.0,0.5130037214112761,0.7211083290478777,0.028940512516843632,0.017085537783482346,0.011435405365257875,0.030472266727984317,0.005176887162947245,0.0,0.002823992543243966,0.00396957070506265,0.00015931227812615367,9.405279003655709e-05
Kontrolle M ≡ 7 mod 30,33000,4.826,5.915575757575757,0.475,0,0.2588787878787879,0.3804848484848485,0.026562962309034623,0.007223831708992137,2.0773445462022817,5.535562148948095,0.940428255121199,0.0,0.5178451422657431,0.6509348112970379,0.028940512516843632,0.017085537783482346,0.011435405365257875,0.030472266727984317,0.005176887162947245,0.0,0.002850643687906442,0.00358327820348702,0.00015931227812615367,9.405279003655709e-05
Kontrolle M ≡ 11 mod 30,33000,4.826181818181818,5.916212121212121,0.475030303030303,0,0.1856060606060606,0.5030909090909091,0.02656556590206716,0.0072241122926060535,2.0775348074179307,5.53643394284529,0.9404612822036591,0.0,0.4291698427227419,0.7723965994792134,0.028943770283884875,0.01708570571976836,0.011436452718779569,0.03047706579544166,0.0051770689710525265,0.0,0.0023625022296135897,0.004251903341667162,0.00015933021154349182,9.405371449538585e-05
Kontrolle M ≡ 13 mod 30,33000,4.8261515151515155,5.894272727272727,0.4634848484848485,0,0.25596969696969696,0.44127272727272726,0.02674632006957706,0.007395951602368714,2.0791725571721322,5.5330251398621995,0.9273945131947703,0.0,0.5147763259401048,0.716011396249549,0.030676308260380637,0.019804381171804167,0.01144546823445817,0.030458300952607476,0.0051051387750222135,0.0,0.002833750410024662,0.00394151301344143,0.00016886751921262773,0.00010901953030453562
