M,twin_count,quadruple_count_all,quadruple_count_small_delta,exact_symmetric_count,near_symmetric_count_6,near_symmetric_count_12,weighted_cupola_all,weighted_cupola_small_delta,delta_histogram_small,eta_histogram_small
274050,4,4,0,1,1,1,0.017269362386,0.000000000000,{},{}
274260,3,2,0,0,0,0,0.006998556999,0.000000000000,{},{}
274470,3,2,0,0,0,0,0.005836753306,0.000000000000,{},{}
274680,3,2,0,0,0,0,0.006521471638,0.000000000000,{},{}
274890,4,4,0,0,0,0,0.010966810967,0.000000000000,{},{}
275100,4,3,0,0,0,0,0.008396156689,0.000000000000,{},{}
275310,8,12,0,2,2,3,0.039252257904,0.000000000000,{},{}
275520,6,8,3,2,2,4,0.058923998305,0.029248366013,"{90: 1, 102: 1, 120: 1}","{0: 1, 30: 1, 42: 1}"
275730,7,10,0,0,0,0,0.024532718136,0.000000000000,{},{}
275940,4,2,1,0,0,0,0.016269841270,0.008333333333,{120: 1},{84: 1}
276150,5,4,0,0,1,2,0.010653759820,0.000000000000,{},{}
276360,2,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
276570,5,4,0,0,0,1,0.012636165577,0.000000000000,{},{}
276780,5,4,0,0,0,0,0.018035514621,0.000000000000,{},{}
276990,5,6,0,0,0,0,0.019613813014,0.000000000000,{},{}
277200,4,4,0,0,0,0,0.014087903458,0.000000000000,{},{}
277410,6,5,0,0,0,1,0.018138736516,0.000000000000,{},{}
277620,7,12,3,1,1,1,0.089165982810,0.055555555556,"{36: 1, 60: 1, 90: 1}","{0: 1, 24: 1, 54: 1}"
277830,6,5,1,0,0,0,0.023373502572,0.009803921569,{102: 1},{18: 1}
278040,4,4,0,0,0,0,0.012179353239,0.000000000000,{},{}
278250,4,4,0,0,0,0,0.012696295200,0.000000000000,{},{}
278460,7,6,0,0,0,0,0.016215873290,0.000000000000,{},{}
278670,9,20,1,0,0,1,0.091075069631,0.012820512821,{78: 1},{42: 1}
278880,7,8,1,0,0,0,0.033720370338,0.009803921569,{102: 1},{42: 1}
279090,4,3,0,0,0,0,0.012133699634,0.000000000000,{},{}
279300,3,2,0,1,1,1,0.005092592593,0.000000000000,{},{}
279510,3,2,1,0,0,1,0.018274853801,0.013888888889,{72: 1},{12: 1}
279720,3,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
279930,2,1,0,0,0,0,0.002564102564,0.000000000000,{},{}
280140,3,2,0,0,0,0,0.007371794872,0.000000000000,{},{}
280350,5,6,1,0,0,1,0.030078918372,0.013888888889,{72: 1},{48: 1}
