M,twin_count,quadruple_count_all,quadruple_count_small_delta,exact_symmetric_count,near_symmetric_count_6,near_symmetric_count_12,weighted_cupola_all,weighted_cupola_small_delta,delta_histogram_small,eta_histogram_small
551071,5,4,0,0,0,0,0.011034587532,0.000000000000,{},{}
551101,5,4,0,0,0,0,0.011034587532,0.000000000000,{},{}
551131,4,3,0,0,0,0,0.008653635151,0.000000000000,{},{}
551161,2,1,0,0,0,0,0.003401360544,0.000000000000,{},{}
551191,2,1,0,0,0,0,0.003401360544,0.000000000000,{},{}
551221,2,1,0,0,0,0,0.003401360544,0.000000000000,{},{}
551251,1,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
551281,1,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
551311,1,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
551341,1,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
551371,2,1,0,0,0,0,0.002380952381,0.000000000000,{},{}
551401,2,1,0,0,0,0,0.002380952381,0.000000000000,{},{}
551431,3,2,0,0,0,0,0.004388984509,0.000000000000,{},{}
551461,3,2,0,0,0,0,0.004388984509,0.000000000000,{},{}
551491,3,2,0,0,0,0,0.004388984509,0.000000000000,{},{}
551521,3,2,0,0,0,0,0.004388984509,0.000000000000,{},{}
551551,2,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
551581,2,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
551611,3,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
551641,3,0,0,0,0,0,0.000000000000,0.000000000000,{},{}
551671,3,2,1,0,0,0,0.016696481813,0.012820512821,{78: 1},{40: 1}
551701,3,2,1,0,0,0,0.016696481813,0.012820512821,{78: 1},{20: 1}
551731,4,4,0,0,0,0,0.015410360527,0.000000000000,{},{}
551761,4,4,0,0,0,0,0.015410360527,0.000000000000,{},{}
551791,5,6,0,0,0,0,0.020471243327,0.000000000000,{},{}
551821,5,6,0,0,1,1,0.020471243327,0.000000000000,{},{}
551851,5,6,0,0,0,0,0.020471243327,0.000000000000,{},{}
551881,5,6,0,0,1,1,0.020471243327,0.000000000000,{},{}
551911,5,6,1,0,1,1,0.024928607668,0.008333333333,{120: 1},{118: 1}
551941,6,9,1,0,0,1,0.031620375284,0.008333333333,{120: 1},{58: 1}
551971,5,6,1,0,1,1,0.024991087344,0.008333333333,{120: 1},{2: 1}
552001,5,6,1,0,1,1,0.024991087344,0.008333333333,{120: 1},{62: 1}
552031,4,4,1,0,0,0,0.030014430014,0.016666666667,{60: 1},{58: 1}
552061,4,4,1,0,1,1,0.030014430014,0.016666666667,{60: 1},{2: 1}
552091,4,3,0,0,0,0,0.014458874459,0.000000000000,{},{}
552121,5,6,0,0,0,0,0.022384695032,0.000000000000,{},{}
552151,5,6,0,0,0,1,0.022384695032,0.000000000000,{},{}
552181,5,6,0,0,0,0,0.022384695032,0.000000000000,{},{}
552211,5,6,0,0,0,1,0.021973936030,0.000000000000,{},{}
552241,5,6,0,0,0,1,0.020686458076,0.000000000000,{},{}
552271,5,6,0,0,0,0,0.020686458076,0.000000000000,{},{}
552301,6,9,0,0,0,1,0.027454549212,0.000000000000,{},{}
552331,5,6,0,0,0,1,0.020790280802,0.000000000000,{},{}
552361,5,6,0,0,0,1,0.020790280802,0.000000000000,{},{}
552391,4,3,0,0,0,0,0.013065070083,0.000000000000,{},{}
552421,5,6,1,0,0,0,0.028963623236,0.011111111111,{90: 1},{52: 1}
552451,6,8,1,0,0,1,0.033797970768,0.011111111111,{90: 1},{8: 1}
552481,6,8,1,0,0,0,0.033797970768,0.011111111111,{90: 1},{68: 1}
552511,7,12,1,0,0,1,0.046044345522,0.011111111111,{90: 1},{52: 1}
552541,6,8,1,0,0,1,0.037211238261,0.011111111111,{90: 1},{8: 1}
552571,6,8,1,0,0,1,0.037211238261,0.011111111111,{90: 1},{68: 1}
552601,6,9,0,0,1,2,0.039195365245,0.000000000000,{},{}
552631,6,9,0,0,0,0,0.039195365245,0.000000000000,{},{}
552661,6,9,0,0,0,1,0.039195365245,0.000000000000,{},{}
552691,6,9,0,0,0,1,0.039195365245,0.000000000000,{},{}
552721,5,6,2,0,0,0,0.053637873754,0.035714285714,"{42: 1, 84: 1}","{16: 1, 58: 1}"
552751,5,4,2,0,1,1,0.043809523810,0.035714285714,"{42: 1, 84: 1}","{2: 1, 40: 1}"
552781,5,4,2,0,0,0,0.043809523810,0.035714285714,"{42: 1, 84: 1}","{20: 1, 62: 1}"
552811,5,4,0,0,0,0,0.010643624135,0.000000000000,{},{}
552841,6,8,0,0,1,1,0.020188219427,0.000000000000,{},{}
552871,6,8,0,0,0,0,0.020188219427,0.000000000000,{},{}
552901,5,6,0,0,1,1,0.016458120236,0.000000000000,{},{}
552931,5,6,0,0,0,0,0.016458120236,0.000000000000,{},{}
552961,5,6,0,0,0,1,0.016458120236,0.000000000000,{},{}
552991,6,9,0,0,1,1,0.022164058764,0.000000000000,{},{}
553021,5,6,0,0,0,0,0.015530755420,0.000000000000,{},{}
553051,4,3,0,0,0,0,0.008199150243,0.000000000000,{},{}
553081,4,3,0,0,0,0,0.008199150243,0.000000000000,{},{}
553111,3,2,1,0,0,0,0.029365079365,0.023809523810,{42: 1},{16: 1}
553141,3,2,0,0,0,0,0.012801932367,0.000000000000,{},{}
553171,3,2,0,0,0,0,0.012801932367,0.000000000000,{},{}
553201,3,2,0,0,0,0,0.012801932367,0.000000000000,{},{}
553231,3,2,0,0,0,0,0.012801932367,0.000000000000,{},{}
553261,3,2,0,0,0,0,0.012801932367,0.000000000000,{},{}
553291,4,3,0,0,0,0,0.007459870753,0.000000000000,{},{}
553321,4,3,0,0,0,0,0.007459870753,0.000000000000,{},{}
553351,4,3,0,0,0,0,0.007459870753,0.000000000000,{},{}
553381,4,3,0,0,0,0,0.007459870753,0.000000000000,{},{}
553411,3,2,0,0,0,0,0.005427350427,0.000000000000,{},{}
553441,2,1,0,0,0,0,0.003205128205,0.000000000000,{},{}
553471,3,2,0,0,0,0,0.005288461538,0.000000000000,{},{}
553501,3,2,0,0,0,0,0.005288461538,0.000000000000,{},{}
553531,3,2,0,0,0,0,0.005288461538,0.000000000000,{},{}
553561,3,2,0,0,0,0,0.005288461538,0.000000000000,{},{}
553591,2,1,0,0,0,0,0.005952380952,0.000000000000,{},{}
553621,3,2,0,0,0,0,0.008982683983,0.000000000000,{},{}
553651,3,2,0,0,0,0,0.008982683983,0.000000000000,{},{}
553681,4,3,0,0,0,0,0.011670856026,0.000000000000,{},{}
553711,4,3,0,0,0,0,0.011670856026,0.000000000000,{},{}
553741,4,3,0,0,0,0,0.011670856026,0.000000000000,{},{}
553771,4,4,0,0,0,1,0.016793275364,0.000000000000,{},{}
553801,5,6,0,0,0,0,0.021831610523,0.000000000000,{},{}
553831,5,6,0,0,0,0,0.021831610523,0.000000000000,{},{}
553861,5,6,0,0,1,1,0.021831610523,0.000000000000,{},{}
553891,4,3,0,0,0,0,0.014105103321,0.000000000000,{},{}
553921,5,6,1,0,1,1,0.043388613021,0.023809523810,{42: 1},{40: 1}
553951,5,6,1,0,0,0,0.043388613021,0.023809523810,{42: 1},{20: 1}
553981,5,6,0,0,1,1,0.026678677014,0.000000000000,{},{}
554011,5,6,0,0,0,0,0.026678677014,0.000000000000,{},{}
554041,5,6,0,0,0,0,0.026678677014,0.000000000000,{},{}
554071,4,4,0,0,0,0,0.021426151762,0.000000000000,{},{}
554101,4,3,1,0,0,0,0.015870596206,0.008333333333,{120: 1},{94: 1}
554131,5,6,1,0,0,0,0.023101913821,0.008333333333,{120: 1},{34: 1}
554161,5,6,1,0,0,0,0.023101913821,0.008333333333,{120: 1},{26: 1}
554191,5,6,1,0,1,1,0.023101913821,0.008333333333,{120: 1},{86: 1}
554221,4,3,0,0,0,0,0.009985190248,0.000000000000,{},{}
554251,4,3,0,0,1,1,0.009985190248,0.000000000000,{},{}
554281,3,2,0,0,0,0,0.007792207792,0.000000000000,{},{}
554311,3,2,0,0,1,1,0.007792207792,0.000000000000,{},{}
554341,4,4,0,0,0,0,0.011918616810,0.000000000000,{},{}
554371,4,4,0,0,0,0,0.011918616810,0.000000000000,{},{}
554401,3,2,0,0,0,0,0.007076719577,0.000000000000,{},{}
554431,3,2,0,0,0,0,0.006819319319,0.000000000000,{},{}
554461,3,2,0,0,0,0,0.006819319319,0.000000000000,{},{}
554491,4,4,0,0,0,0,0.011225704421,0.000000000000,{},{}
554521,3,2,0,0,0,0,0.007192676548,0.000000000000,{},{}
554551,4,3,0,0,0,0,0.009573628928,0.000000000000,{},{}
554581,4,3,0,0,0,0,0.009573628928,0.000000000000,{},{}
554611,5,4,0,0,0,0,0.011683333570,0.000000000000,{},{}
554641,5,6,0,0,0,0,0.022864254751,0.000000000000,{},{}
554671,5,6,0,0,0,0,0.022864254751,0.000000000000,{},{}
554701,5,6,0,0,0,0,0.022864254751,0.000000000000,{},{}
554731,4,3,0,0,0,0,0.015685425685,0.000000000000,{},{}
554761,5,4,0,0,0,1,0.018172987874,0.000000000000,{},{}
554791,5,6,2,0,0,0,0.046111830078,0.030637254902,"{48: 1, 102: 1}","{46: 1, 100: 1}"
554821,5,6,2,0,0,0,0.046111830078,0.030637254902,"{48: 1, 102: 1}","{14: 1, 40: 1}"
554851,5,6,2,0,0,0,0.043648470997,0.028322440087,"{54: 1, 102: 1}","{20: 1, 28: 1}"
554881,5,6,2,0,0,0,0.043648470997,0.028322440087,"{54: 1, 102: 1}","{32: 1, 80: 1}"
554911,5,4,0,0,0,1,0.018024443608,0.000000000000,{},{}
554941,4,3,0,0,1,1,0.015536881419,0.000000000000,{},{}
554971,5,6,0,0,0,1,0.022894620299,0.000000000000,{},{}
555001,5,6,0,0,0,0,0.022894620299,0.000000000000,{},{}
555031,5,6,0,0,0,0,0.022894620299,0.000000000000,{},{}
555061,5,4,0,0,0,0,0.012119643641,0.000000000000,{},{}
555091,4,3,0,0,0,0,0.009955141477,0.000000000000,{},{}
555121,5,6,0,0,0,0,0.016212796575,0.000000000000,{},{}
555151,4,4,0,0,0,2,0.012079124579,0.000000000000,{},{}
555181,4,4,0,0,0,0,0.012079124579,0.000000000000,{},{}
555211,3,2,0,0,0,0,0.007407407407,0.000000000000,{},{}
555241,4,3,0,0,0,0,0.009490740741,0.000000000000,{},{}
555271,4,4,0,0,0,0,0.014384920635,0.000000000000,{},{}
555301,4,4,0,0,0,0,0.014384920635,0.000000000000,{},{}
