M,twin_count,quadruple_count_all,quadruple_count_small_delta,exact_symmetric_count,near_symmetric_count_6,near_symmetric_count_12,weighted_cupola_all,weighted_cupola_small_delta,delta_histogram_small,eta_histogram_small
10027,10,24,4,0,0,1,0.149195477867,0.071164021164,"{30: 1, 60: 1, 84: 1, 108: 1}","{8: 1, 22: 1, 46: 1, 86: 1}"
10057,11,30,5,0,0,1,0.179918879270,0.090227201992,"{30: 1, 54: 1, 60: 1, 84: 1, 102: 1}","{8: 1, 14: 1, 16: 1, 38: 1, 64: 1}"
10087,10,25,5,0,1,1,0.171691736163,0.095782757547,"{24: 1, 54: 1, 72: 1, 84: 1, 102: 1}","{4: 1, 14: 1, 34: 1, 44: 1, 74: 1}"
10117,10,24,3,0,2,2,0.124472905611,0.044526143791,"{48: 1, 72: 1, 102: 1}","{2: 1, 26: 1, 56: 1}"
10147,11,28,0,0,0,1,0.100953594122,0.000000000000,{},{}
10177,11,30,0,0,1,2,0.107359903412,0.000000000000,{},{}
10207,12,36,0,0,1,2,0.120854884852,0.000000000000,{},{}
10237,12,35,0,0,1,3,0.118058755413,0.000000000000,{},{}
10267,12,35,0,0,2,3,0.118058755413,0.000000000000,{},{}
10297,12,36,2,0,3,4,0.162012632837,0.050000000000,"{30: 1, 60: 1}","{10: 1, 20: 1}"
10327,11,30,2,0,0,0,0.151760555779,0.050000000000,"{30: 1, 60: 1}","{20: 1, 50: 1}"
10357,10,24,1,0,0,0,0.105410299618,0.010416666667,{96: 1},{46: 1}
10387,9,20,1,0,1,1,0.095589102297,0.010416666667,{96: 1},{14: 1}
10417,9,20,1,0,2,2,0.094280559994,0.010416666667,{96: 1},{74: 1}
10447,8,16,3,0,0,1,0.116376229445,0.057026143791,"{30: 1, 72: 1, 102: 1}","{8: 1, 34: 1, 64: 1}"
10477,8,15,4,0,2,2,0.104986454346,0.061391223156,"{42: 1, 72: 2, 102: 1}","{4: 2, 26: 1, 34: 1}"
10507,8,12,3,0,1,1,0.089994428827,0.057026143791,"{30: 1, 72: 1, 102: 1}","{16: 1, 26: 1, 56: 1}"
10537,8,7,0,0,0,0,0.025211401637,0.000000000000,{},{}
10567,9,14,0,0,2,2,0.041208593810,0.000000000000,{},{}
10597,9,18,0,0,2,2,0.050538800804,0.000000000000,{},{}
10627,8,15,0,0,0,0,0.044595025444,0.000000000000,{},{}
10657,8,16,0,0,2,2,0.047041671772,0.000000000000,{},{}
10687,8,16,0,0,0,1,0.047041671772,0.000000000000,{},{}
10717,8,15,0,0,1,1,0.045818045330,0.000000000000,{},{}
10747,7,12,0,0,0,0,0.039377944037,0.000000000000,{},{}
10777,8,15,0,0,1,1,0.045435866602,0.000000000000,{},{}
10807,7,10,0,0,0,0,0.034264380577,0.000000000000,{},{}
10837,7,6,0,0,0,0,0.024710508523,0.000000000000,{},{}
10867,8,12,2,0,0,0,0.083441622370,0.046153846154,"{30: 1, 78: 1}","{16: 1, 64: 1}"
10897,9,18,2,0,1,1,0.093899401599,0.033653846154,"{48: 1, 78: 1}","{4: 1, 34: 1}"
10927,9,18,2,0,0,0,0.093899401599,0.033653846154,"{48: 1, 78: 1}","{26: 1, 56: 1}"
10957,9,20,1,0,1,1,0.086102245776,0.008333333333,{120: 1},{82: 1}
10987,9,20,1,0,1,1,0.086102245776,0.008333333333,{120: 1},{22: 1}
11017,8,15,1,0,1,1,0.073613200000,0.008333333333,{120: 1},{38: 1}
11047,8,15,1,0,1,1,0.073613200000,0.008333333333,{120: 1},{98: 1}
11077,9,20,6,0,0,0,0.126934588106,0.076990884073,"{48: 1, 60: 1, 90: 1, 102: 2, 114: 1}","{22: 1, 34: 1, 64: 1, 76: 2, 88: 1}"
11107,9,20,6,0,2,2,0.126934588106,0.076990884073,"{48: 1, 60: 1, 90: 1, 102: 2, 114: 1}","{4: 1, 16: 2, 26: 1, 28: 1, 38: 1}"
11137,9,18,6,0,1,1,0.122218645247,0.081818926401,"{42: 1, 54: 1, 90: 1, 102: 2, 114: 1}","{4: 1, 16: 1, 32: 1, 44: 2, 56: 1}"
11167,8,12,4,0,1,1,0.149256565353,0.120427703245,"{12: 1, 54: 1, 102: 1, 114: 1}","{2: 1, 44: 1, 92: 1, 104: 1}"
11197,8,12,0,0,0,0,0.039770802495,0.000000000000,{},{}
11227,8,12,0,0,0,0,0.039770802495,0.000000000000,{},{}
11257,8,15,0,0,1,2,0.047184023037,0.000000000000,{},{}
11287,8,15,0,0,0,0,0.047184023037,0.000000000000,{},{}
11317,8,15,0,0,0,0,0.047184023037,0.000000000000,{},{}
11347,8,15,0,0,0,0,0.047184023037,0.000000000000,{},{}
11377,6,8,0,0,0,0,0.028684431048,0.000000000000,{},{}
11407,7,12,0,0,1,1,0.037021998570,0.000000000000,{},{}
11437,7,12,0,0,2,2,0.036656655618,0.000000000000,{},{}
11467,6,8,0,0,0,0,0.027418283477,0.000000000000,{},{}
11497,6,8,1,0,0,0,0.042290485110,0.016666666667,{60: 1},{46: 1}
11527,6,8,1,0,1,1,0.042290485110,0.016666666667,{60: 1},{14: 1}
11557,7,12,0,0,0,0,0.046131735156,0.000000000000,{},{}
11587,7,12,0,0,0,1,0.046131735156,0.000000000000,{},{}
11617,7,12,0,0,0,0,0.046131735156,0.000000000000,{},{}
11647,8,15,0,0,1,1,0.052618740214,0.000000000000,{},{}
11677,8,12,0,0,0,0,0.045345790827,0.000000000000,{},{}
11707,8,15,2,0,1,1,0.117739415721,0.068376068376,"{18: 1, 78: 1}","{4: 1, 64: 1}"
11737,8,16,3,0,1,1,0.085756869265,0.038259109312,"{60: 1, 78: 1, 114: 1}","{4: 1, 22: 1, 76: 1}"
11767,9,20,3,0,2,2,0.095611380154,0.038259109312,"{60: 1, 78: 1, 114: 1}","{16: 1, 38: 1, 56: 1}"
11797,9,20,2,0,1,1,0.093742557468,0.027290448343,"{54: 1, 114: 1}","{16: 1, 44: 1}"
11827,10,24,2,0,2,2,0.103580058150,0.027290448343,"{54: 1, 114: 1}","{44: 1, 104: 1}"
11857,9,20,1,0,1,1,0.083539750068,0.009259259259,{108: 1},{58: 1}
11887,10,24,1,0,2,2,0.093590974182,0.009259259259,{108: 1},{2: 1}
11917,10,24,1,0,0,1,0.093590974182,0.009259259259,{108: 1},{62: 1}
11947,11,30,2,0,0,2,0.142373978734,0.043137254902,"{30: 1, 102: 1}","{16: 1, 88: 1}"
11977,12,36,3,0,2,2,0.143691339787,0.033496732026,"{72: 1, 102: 2}","{28: 1, 58: 1, 88: 1}"
12007,11,30,3,0,3,3,0.129800262524,0.033496732026,"{72: 1, 102: 2}","{2: 1, 28: 1, 32: 1}"
12037,10,24,3,0,2,3,0.115284261209,0.033496732026,"{72: 1, 102: 2}","{32: 1, 62: 1, 92: 1}"
12067,10,25,4,0,1,1,0.149672258833,0.066622103387,"{30: 1, 66: 1, 102: 1, 120: 1}","{16: 1, 20: 1, 70: 1, 92: 1}"
12097,10,25,4,0,1,2,0.144689119617,0.062373737374,"{36: 1, 66: 1, 90: 1, 120: 1}","{10: 1, 14: 1, 40: 1, 44: 1}"
12127,10,24,3,0,0,0,0.121680304760,0.037962962963,"{54: 1, 90: 1, 120: 1}","{16: 1, 20: 1, 50: 1}"
12157,9,20,3,0,2,3,0.111986567125,0.037962962963,"{54: 1, 90: 1, 120: 1}","{44: 1, 80: 1, 110: 1}"
12187,9,18,2,0,0,0,0.092872019886,0.023931623932,"{78: 1, 90: 1}","{28: 1, 40: 1}"
12217,9,18,2,0,0,0,0.092872019886,0.023931623932,"{78: 1, 90: 1}","{20: 1, 32: 1}"
12247,9,18,2,0,1,2,0.153720124390,0.094444444444,"{12: 1, 90: 1}","{2: 1, 80: 1}"
12277,8,12,0,0,0,0,0.045671039695,0.000000000000,{},{}
12307,8,12,0,0,2,2,0.045671039695,0.000000000000,{},{}
12337,9,18,0,0,0,1,0.058949576539,0.000000000000,{},{}
12367,8,15,0,0,0,0,0.052210967969,0.000000000000,{},{}
12397,7,10,0,0,1,1,0.031884515823,0.000000000000,{},{}
12427,6,8,0,0,1,2,0.027585574024,0.000000000000,{},{}
12457,6,8,0,0,1,1,0.027585574024,0.000000000000,{},{}
12487,5,6,0,0,0,0,0.022717849156,0.000000000000,{},{}
12517,5,6,0,0,0,0,0.022717849156,0.000000000000,{},{}
12547,5,6,1,0,0,0,0.028492908448,0.013888888889,{72: 1},{58: 1}
12577,4,4,1,0,1,1,0.023960744705,0.013888888889,{72: 1},{2: 1}
12607,4,4,1,0,0,0,0.023960744705,0.013888888889,{72: 1},{62: 1}
12637,5,6,0,0,0,0,0.018325584659,0.000000000000,{},{}
12667,5,6,0,0,0,0,0.018325584659,0.000000000000,{},{}
12697,4,4,0,0,0,0,0.014221480554,0.000000000000,{},{}
12727,6,8,0,0,1,1,0.023612089945,0.000000000000,{},{}
12757,6,8,0,0,0,0,0.023612089945,0.000000000000,{},{}
12787,6,8,0,0,0,0,0.023612089945,0.000000000000,{},{}
12817,6,8,0,0,0,0,0.023612089945,0.000000000000,{},{}
12847,5,6,1,0,0,0,0.029705895254,0.010416666667,{96: 1},{46: 1}
12877,5,6,1,0,0,0,0.029705895254,0.010416666667,{96: 1},{14: 1}
12907,5,6,1,0,0,1,0.029705895254,0.010416666667,{96: 1},{74: 1}
12937,5,6,2,0,0,0,0.039806358516,0.023015873016,"{84: 1, 90: 1}","{46: 1, 52: 1}"
12967,5,6,2,0,0,1,0.039806358516,0.023015873016,"{84: 1, 90: 1}","{8: 1, 14: 1}"
12997,5,6,2,0,0,0,0.039806358516,0.023015873016,"{84: 1, 90: 1}","{68: 1, 74: 1}"
13027,5,4,0,0,0,0,0.015250120250,0.000000000000,{},{}
13057,6,8,0,0,0,0,0.025575550634,0.000000000000,{},{}
13087,6,8,0,0,0,0,0.025575550634,0.000000000000,{},{}
13117,7,12,0,0,0,1,0.034484350167,0.000000000000,{},{}
13147,6,9,0,0,0,0,0.028285002035,0.000000000000,{},{}
13177,6,9,0,0,0,1,0.028285002035,0.000000000000,{},{}
13207,6,9,0,0,0,1,0.028285002035,0.000000000000,{},{}
13237,5,6,1,0,0,0,0.024984737485,0.008333333333,{120: 1},{82: 1}
13267,5,6,1,0,0,0,0.024984737485,0.008333333333,{120: 1},{22: 1}
13297,5,6,1,0,0,0,0.024984737485,0.008333333333,{120: 1},{38: 1}
13327,3,2,1,0,0,0,0.013888888889,0.008333333333,{120: 1},{98: 1}
13357,3,2,1,0,0,0,0.022222222222,0.016666666667,{60: 1},{22: 1}
13387,4,4,1,0,0,0,0.027310700995,0.016666666667,{60: 1},{38: 1}
13417,6,9,0,0,0,0,0.024896322579,0.000000000000,{},{}
13447,7,12,0,0,1,1,0.032571035983,0.000000000000,{},{}
13477,8,15,0,0,0,0,0.039581617994,0.000000000000,{},{}
13507,8,15,0,0,1,1,0.039581617994,0.000000000000,{},{}
13537,8,12,0,0,1,1,0.033786247167,0.000000000000,{},{}
13567,8,12,0,0,0,0,0.033786247167,0.000000000000,{},{}
13597,9,14,0,0,0,0,0.037721432352,0.000000000000,{},{}
13627,10,16,0,0,0,0,0.041478608982,0.000000000000,{},{}
13657,10,9,0,0,0,0,0.024271719879,0.000000000000,{},{}
13687,10,16,4,0,1,1,0.194212254075,0.153296703297,"{12: 1, 30: 1, 42: 1, 78: 1}","{2: 1, 16: 1, 28: 1, 64: 1}"
13717,11,24,7,0,2,2,0.274414467039,0.197614885115,"{12: 1, 30: 1, 42: 1, 48: 1, 66: 1, 78: 1, 120: 1}","{2: 1, 4: 1, 16: 1, 20: 1, 32: 1, 34: 1, 106: 1}"
13747,11,28,6,0,0,0,0.194798440956,0.094175731676,"{36: 1, 48: 1, 66: 1, 78: 1, 108: 1, 120: 1}","{14: 1, 26: 1, 44: 1, 46: 1, 56: 1, 58: 1}"
13777,11,30,4,0,2,2,0.161264015611,0.039814814815,"{72: 1, 108: 1, 120: 2}","{2: 1, 14: 1, 34: 1, 82: 1}"
13807,12,35,4,0,2,4,0.174868049938,0.039814814815,"{72: 1, 108: 1, 120: 2}","{22: 1, 26: 1, 62: 1, 74: 1}"
13837,12,36,4,0,1,1,0.189475859246,0.052859477124,"{48: 1, 72: 1, 102: 1, 120: 1}","{34: 1, 38: 1, 58: 1, 88: 1}"
13867,12,36,4,0,2,2,0.189475859246,0.052859477124,"{48: 1, 72: 1, 102: 1, 120: 1}","{2: 1, 26: 1, 28: 1, 98: 1}"
13897,12,35,5,0,1,2,0.218515942958,0.092211328976,"{24: 1, 54: 1, 72: 1, 102: 1, 120: 1}","{14: 1, 16: 1, 32: 1, 62: 1, 82: 1}"
13927,12,32,6,0,0,0,0.194550459618,0.089665032680,"{30: 1, 54: 1, 96: 1, 102: 1, 108: 1, 120: 1}","{20: 1, 22: 1, 44: 1, 46: 1, 58: 1, 92: 1}"
13957,13,36,5,0,2,2,0.164797078460,0.055981287231,"{66: 1, 78: 1, 96: 1, 108: 1, 120: 1}","{2: 1, 14: 1, 16: 1, 28: 1, 38: 1}"
13987,12,32,5,0,1,2,0.154380173187,0.055981287231,"{66: 1, 78: 1, 96: 1, 108: 1, 120: 1}","{32: 1, 44: 1, 62: 1, 74: 1, 98: 1}"
14017,10,16,2,0,0,0,0.075899007384,0.025793650794,"{72: 1, 84: 1}","{46: 1, 58: 1}"
14047,10,21,2,0,1,1,0.088521715338,0.025793650794,"{72: 1, 84: 1}","{2: 1, 14: 1}"
14077,9,18,2,0,2,2,0.081629725614,0.025793650794,"{72: 1, 84: 1}","{62: 1, 74: 1}"
14107,10,21,0,0,1,2,0.061343759165,0.000000000000,{},{}
14137,9,18,0,0,0,1,0.055138171763,0.000000000000,{},{}
14167,10,24,0,0,2,3,0.067899611738,0.000000000000,{},{}
14197,9,20,0,0,1,3,0.059244017164,0.000000000000,{},{}
14227,8,16,0,0,1,2,0.050100386565,0.000000000000,{},{}
14257,8,16,1,0,0,0,0.061492663649,0.013888888889,{72: 1},{58: 1}
14287,9,20,1,0,2,2,0.070365769035,0.013888888889,{72: 1},{2: 1}
14317,8,12,1,0,2,3,0.051995959641,0.013888888889,{72: 1},{62: 1}
14347,9,18,1,0,1,1,0.077029740790,0.015151515152,{66: 1},{16: 1}
14377,9,18,1,0,0,0,0.077029740790,0.015151515152,{66: 1},{44: 1}
14407,8,15,1,0,1,1,0.078274522979,0.016666666667,{60: 1},{22: 1}
14437,8,15,1,0,2,3,0.078274522979,0.016666666667,{60: 1},{38: 1}
14467,8,16,2,0,1,1,0.079696694718,0.018575851393,"{102: 1, 114: 1}","{64: 1, 76: 1}"
14497,8,16,2,0,1,1,0.079696694718,0.018575851393,"{102: 1, 114: 1}","{4: 1, 16: 1}"
14527,8,16,2,0,0,0,0.079696694718,0.018575851393,"{102: 1, 114: 1}","{44: 1, 56: 1}"
14557,7,12,4,0,1,1,0.167189397902,0.128735299788,"{12: 1, 42: 1, 78: 1, 114: 1}","{2: 1, 28: 1, 64: 1, 104: 1}"
14587,8,15,4,0,1,1,0.126363605616,0.085114885115,"{30: 1, 42: 1, 66: 1, 78: 1}","{4: 1, 16: 1, 20: 1, 32: 1}"
14617,8,12,3,0,0,0,0.085071605724,0.055749805750,"{36: 1, 66: 1, 78: 1}","{14: 1, 44: 1, 56: 1}"
14647,7,6,0,0,0,0,0.018666768731,0.000000000000,{},{}
14677,7,6,0,0,0,0,0.018666768731,0.000000000000,{},{}
14707,6,5,0,0,1,1,0.016583435398,0.000000000000,{},{}
14737,6,5,0,0,0,0,0.016583435398,0.000000000000,{},{}
14767,5,4,0,0,0,0,0.014202483017,0.000000000000,{},{}
14797,5,4,0,0,0,0,0.014202483017,0.000000000000,{},{}
14827,5,4,0,0,0,0,0.014202483017,0.000000000000,{},{}
14857,5,6,0,0,0,0,0.016586226185,0.000000000000,{},{}
14887,4,3,0,0,0,1,0.007495989849,0.000000000000,{},{}
14917,3,2,0,0,0,0,0.005664488017,0.000000000000,{},{}
14947,2,1,0,0,0,0,0.003703703704,0.000000000000,{},{}
14977,3,2,0,0,0,0,0.006191265893,0.000000000000,{},{}
15007,4,3,0,0,0,1,0.008572218274,0.000000000000,{},{}
15037,5,4,0,0,0,0,0.010736720438,0.000000000000,{},{}
15067,6,5,0,0,1,1,0.012769240763,0.000000000000,{},{}
15097,6,5,0,0,1,1,0.012769240763,0.000000000000,{},{}
15127,6,5,0,0,0,0,0.012769240763,0.000000000000,{},{}
15157,6,8,0,0,0,0,0.033020799140,0.000000000000,{},{}
15187,5,4,0,0,0,0,0.023955262080,0.000000000000,{},{}
15217,5,4,0,0,0,1,0.023955262080,0.000000000000,{},{}
15247,5,4,0,0,1,1,0.023955262080,0.000000000000,{},{}
15277,5,6,3,0,1,1,0.099712837838,0.083333333333,"{18: 1, 60: 1, 90: 1}","{4: 1, 46: 1, 76: 1}"
15307,6,9,4,0,1,1,0.084047769316,0.065476190476,"{42: 1, 60: 1, 72: 1, 90: 1}","{4: 1, 14: 1, 16: 1, 34: 1}"
15337,6,8,3,0,0,0,0.075664832808,0.058333333333,"{30: 1, 72: 1, 90: 1}","{16: 1, 26: 1, 44: 1}"
15367,8,15,0,0,0,0,0.045580825802,0.000000000000,{},{}
15397,8,15,0,0,0,1,0.045580825802,0.000000000000,{},{}
15427,8,15,0,0,1,1,0.045580825802,0.000000000000,{},{}
15457,9,20,0,0,3,3,0.058431608297,0.000000000000,{},{}
15487,9,20,0,0,2,2,0.058431608297,0.000000000000,{},{}
15517,9,20,0,0,0,1,0.058431608297,0.000000000000,{},{}
15547,9,20,0,0,2,2,0.058431608297,0.000000000000,{},{}
15577,8,15,0,0,0,0,0.045591551102,0.000000000000,{},{}
15607,8,15,2,0,1,2,0.075489453916,0.031818181818,"{60: 1, 66: 1}","{10: 1, 16: 1}"
15637,7,10,2,0,0,0,0.062409014347,0.031818181818,"{60: 1, 66: 1}","{44: 1, 50: 1}"
15667,6,9,4,0,0,0,0.069120255044,0.044543650794,"{84: 1, 90: 2, 96: 1}","{40: 1, 46: 2, 52: 1}"
15697,7,12,4,0,0,1,0.077801080391,0.044543650794,"{84: 1, 90: 2, 96: 1}","{8: 1, 14: 2, 20: 1}"
15727,7,12,4,0,0,0,0.077801080391,0.044543650794,"{84: 1, 90: 2, 96: 1}","{68: 1, 74: 2, 80: 1}"
15757,7,10,0,0,0,0,0.041697600538,0.000000000000,{},{}
15787,9,20,0,0,0,0,0.067486544869,0.000000000000,{},{}
15817,9,20,0,0,0,2,0.067486544869,0.000000000000,{},{}
15847,10,25,0,0,0,2,0.078257754600,0.000000000000,{},{}
15877,10,25,0,0,0,0,0.078257754600,0.000000000000,{},{}
15907,10,25,1,0,0,1,0.083791576148,0.011904761905,{84: 1},{46: 1}
15937,11,30,1,0,4,4,0.094174998541,0.011904761905,{84: 1},{14: 1}
15967,9,18,1,0,0,1,0.067390694750,0.011904761905,{84: 1},{74: 1}
15997,9,20,2,0,0,0,0.083031519257,0.021527777778,"{90: 1, 96: 1}","{40: 1, 46: 1}"
16027,9,20,2,0,0,0,0.083031519257,0.021527777778,"{90: 1, 96: 1}","{14: 1, 20: 1}"
16057,7,10,2,0,2,2,0.057514003254,0.021527777778,"{90: 1, 96: 1}","{74: 1, 80: 1}"
16087,8,16,3,0,0,0,0.091196508005,0.035042735043,"{72: 1, 78: 1, 120: 1}","{28: 1, 34: 1, 82: 1}"
16117,8,16,3,0,0,0,0.091196508005,0.035042735043,"{72: 1, 78: 1, 120: 1}","{22: 1, 26: 1, 32: 1}"
16147,8,15,3,0,2,2,0.091015420324,0.040277777778,"{48: 1, 90: 1, 120: 1}","{34: 1, 38: 1, 76: 1}"
16177,9,20,3,0,0,0,0.103245200738,0.040277777778,"{48: 1, 90: 1, 120: 1}","{16: 1, 26: 1, 98: 1}"
16207,8,15,2,0,1,3,0.084716861311,0.034920634921,"{42: 1, 90: 1}","{4: 1, 44: 1}"
16237,8,12,0,0,0,0,0.045875299020,0.000000000000,{},{}
16267,8,12,0,0,0,0,0.045875299020,0.000000000000,{},{}
