M,twin_count,quadruple_count_all,quadruple_count_small_delta,exact_symmetric_count,near_symmetric_count_6,near_symmetric_count_12,weighted_cupola_all,weighted_cupola_small_delta,delta_histogram_small,eta_histogram_small
10020,11,30,4,1,2,2,0.163812626859,0.071164021164,"{30: 1, 60: 1, 84: 1, 108: 1}","{6: 1, 36: 1, 60: 1, 72: 1}"
10050,11,30,5,2,3,3,0.179918879270,0.090227201992,"{30: 1, 54: 1, 60: 1, 84: 1, 102: 1}","{0: 1, 6: 1, 24: 1, 30: 1, 78: 1}"
10080,10,25,5,2,2,3,0.171691736163,0.095782757547,"{24: 1, 54: 1, 72: 1, 84: 1, 102: 1}","{0: 1, 18: 1, 30: 1, 48: 1, 60: 1}"
10110,10,24,3,0,0,3,0.124472905611,0.044526143791,"{48: 1, 72: 1, 102: 1}","{12: 2, 42: 1}"
10140,11,24,0,1,2,2,0.078524441484,0.000000000000,{},{}
10170,11,30,0,3,3,3,0.107359903412,0.000000000000,{},{}
10200,12,36,0,1,2,4,0.120854884852,0.000000000000,{},{}
10230,13,42,0,1,3,4,0.133481490407,0.000000000000,{},{}
10260,12,35,0,1,2,3,0.118058755413,0.000000000000,{},{}
10290,12,36,2,0,1,5,0.162012632837,0.050000000000,"{30: 1, 60: 1}","{6: 1, 24: 1}"
10320,11,30,2,1,2,2,0.151760555779,0.050000000000,"{30: 1, 60: 1}","{6: 1, 36: 1}"
10350,10,24,1,1,1,1,0.105410299618,0.010416666667,{96: 1},{60: 1}
10380,9,20,1,2,2,3,0.095589102297,0.010416666667,{96: 1},{0: 1}
10410,9,20,1,0,0,2,0.094280559994,0.010416666667,{96: 1},{60: 1}
10440,9,20,3,0,1,1,0.126617149840,0.057026143791,"{30: 1, 72: 1, 102: 1}","{6: 1, 48: 1, 78: 1}"
10470,8,15,4,0,0,1,0.104986454346,0.061391223156,"{42: 1, 72: 2, 102: 1}","{12: 1, 18: 2, 48: 1}"
10500,8,10,2,0,0,2,0.051899190732,0.023692810458,"{72: 1, 102: 1}","{12: 1, 42: 1}"
10530,8,6,0,0,0,0,0.019655846081,0.000000000000,{},{}
10560,9,14,0,0,0,1,0.041208593810,0.000000000000,{},{}
10590,9,18,0,0,0,3,0.050538800804,0.000000000000,{},{}
10620,8,15,0,1,1,1,0.044595025444,0.000000000000,{},{}
10650,8,16,0,0,0,1,0.047041671772,0.000000000000,{},{}
10680,8,16,0,1,2,3,0.047041671772,0.000000000000,{},{}
10710,8,12,0,1,1,1,0.029209858195,0.000000000000,{},{}
10740,7,12,0,0,0,1,0.039377944037,0.000000000000,{},{}
10770,8,15,0,0,0,0,0.045435866602,0.000000000000,{},{}
10800,8,15,0,2,2,3,0.045435866602,0.000000000000,{},{}
10830,8,12,0,0,0,2,0.038416041241,0.000000000000,{},{}
10860,8,6,0,0,0,0,0.020266064078,0.000000000000,{},{}
10890,9,12,1,1,1,2,0.049922363851,0.012820512821,{78: 1},{18: 1}
10920,9,18,2,0,0,2,0.093899401599,0.033653846154,"{48: 1, 78: 1}","{12: 1, 42: 1}"
10950,9,20,1,0,0,0,0.086102245776,0.008333333333,{120: 1},{96: 1}
10980,9,20,1,1,1,2,0.086102245776,0.008333333333,{120: 1},{36: 1}
11010,9,20,1,1,1,4,0.086102245776,0.008333333333,{120: 1},{24: 1}
11040,8,15,1,0,0,0,0.073613200000,0.008333333333,{120: 1},{84: 1}
11070,9,16,3,0,0,0,0.081640122802,0.035242518060,"{60: 1, 102: 1, 114: 1}","{36: 1, 78: 1, 90: 1}"
11100,9,20,6,0,0,2,0.126934588106,0.076990884073,"{48: 1, 60: 1, 90: 1, 102: 2, 114: 1}","{12: 1, 18: 1, 24: 1, 30: 2, 42: 1}"
11130,9,18,6,0,0,0,0.122218645247,0.081818926401,"{42: 1, 54: 1, 90: 1, 102: 2, 114: 1}","{18: 2, 30: 3, 42: 1}"
11160,9,12,3,0,0,0,0.065952547217,0.037094369912,"{54: 1, 102: 1, 114: 1}","{30: 1, 78: 1, 90: 1}"
11190,9,14,0,1,1,1,0.043601971326,0.000000000000,{},{}
11220,8,12,0,0,0,1,0.039770802495,0.000000000000,{},{}
11250,8,15,0,0,0,1,0.047184023037,0.000000000000,{},{}
11280,8,15,0,1,1,2,0.047184023037,0.000000000000,{},{}
11310,8,15,0,1,1,3,0.047184023037,0.000000000000,{},{}
11340,8,15,0,0,0,1,0.047184023037,0.000000000000,{},{}
11370,7,10,0,0,0,0,0.033148716762,0.000000000000,{},{}
11400,7,12,0,0,0,0,0.037021998570,0.000000000000,{},{}
11430,7,12,0,1,1,2,0.036656655618,0.000000000000,{},{}
11460,7,12,0,0,0,0,0.036656655618,0.000000000000,{},{}
11490,6,4,0,0,0,0,0.013003726546,0.000000000000,{},{}
11520,6,8,1,1,1,2,0.042290485110,0.016666666667,{60: 1},{0: 1}
11550,7,8,0,0,0,0,0.025580623334,0.000000000000,{},{}
11580,7,12,0,0,0,0,0.046131735156,0.000000000000,{},{}
11610,7,12,0,0,0,1,0.046131735156,0.000000000000,{},{}
11640,8,15,0,0,0,3,0.052618740214,0.000000000000,{},{}
11670,8,12,0,0,0,1,0.045345790827,0.000000000000,{},{}
11700,8,10,0,0,0,0,0.033917219399,0.000000000000,{},{}
11730,8,16,3,1,1,1,0.085756869265,0.038259109312,"{60: 1, 78: 1, 114: 1}","{18: 1, 36: 1, 90: 1}"
11760,9,20,3,1,1,3,0.095611380154,0.038259109312,"{60: 1, 78: 1, 114: 1}","{24: 1, 30: 1, 42: 1}"
11790,10,25,2,0,0,1,0.104501896893,0.027290448343,"{54: 1, 114: 1}",{30: 2}
11820,10,24,2,1,1,1,0.103580058150,0.027290448343,"{54: 1, 114: 1}","{30: 1, 90: 1}"
11850,10,25,1,0,0,1,0.094225148846,0.009259259259,{108: 1},{72: 1}
11880,10,24,1,1,1,4,0.093590974182,0.009259259259,{108: 1},{12: 1}
11910,10,24,1,1,2,3,0.093590974182,0.009259259259,{108: 1},{48: 1}
11940,11,24,0,1,3,3,0.077870747466,0.000000000000,{},{}
11970,12,30,1,3,3,4,0.100294016190,0.009803921569,{102: 1},{42: 1}
12000,12,36,3,0,1,3,0.143691339787,0.033496732026,"{72: 1, 102: 2}","{12: 1, 18: 1, 42: 1}"
12030,10,24,3,0,0,2,0.115284261209,0.033496732026,"{72: 1, 102: 2}","{18: 1, 48: 1, 78: 1}"
12060,10,25,4,0,1,2,0.149672258833,0.066622103387,"{30: 1, 66: 1, 102: 1, 120: 1}","{6: 1, 30: 1, 78: 1, 84: 1}"
12090,10,25,4,2,2,3,0.144689119617,0.062373737374,"{36: 1, 66: 1, 90: 1, 120: 1}","{0: 1, 24: 1, 30: 1, 54: 1}"
12120,10,24,3,0,1,1,0.121680304760,0.037962962963,"{54: 1, 90: 1, 120: 1}","{6: 1, 30: 1, 36: 1}"
12150,9,20,3,0,1,2,0.111986567125,0.037962962963,"{54: 1, 90: 1, 120: 1}","{30: 1, 66: 1, 96: 1}"
12180,9,18,2,1,1,3,0.092872019886,0.023931623932,"{78: 1, 90: 1}","{42: 1, 54: 1}"
